great_area,ano,qtde,color
Applied and Social Sciences,1973,1,"#F88B16"
Applied and Social Sciences,1974,0,"#F88B16"
Applied and Social Sciences,1975,2,"#F88B16"
Applied and Social Sciences,1976,0,"#F88B16"
Applied and Social Sciences,1977,1,"#F88B16"
Applied and Social Sciences,1978,2,"#F88B16"
Applied and Social Sciences,1979,1,"#F88B16"
Applied and Social Sciences,1980,1,"#F88B16"
Applied and Social Sciences,1981,8,"#F88B16"
Applied and Social Sciences,1982,3,"#F88B16"
Applied and Social Sciences,1983,7,"#F88B16"
Applied and Social Sciences,1984,8,"#F88B16"
Applied and Social Sciences,1985,6,"#F88B16"
Applied and Social Sciences,1986,6,"#F88B16"
Applied and Social Sciences,1987,15,"#F88B16"
Applied and Social Sciences,1988,5,"#F88B16"
Applied and Social Sciences,1989,10,"#F88B16"
Applied and Social Sciences,1990,8,"#F88B16"
Applied and Social Sciences,1991,6,"#F88B16"
Applied and Social Sciences,1992,11,"#F88B16"
Applied and Social Sciences,1993,12,"#F88B16"
Applied and Social Sciences,1994,19,"#F88B16"
Applied and Social Sciences,1995,29,"#F88B16"
Applied and Social Sciences,1996,36,"#F88B16"
Applied and Social Sciences,1997,37,"#F88B16"
Applied and Social Sciences,1998,45,"#F88B16"
Applied and Social Sciences,1999,80,"#F88B16"
Applied and Social Sciences,2000,71,"#F88B16"
Applied and Social Sciences,2001,92,"#F88B16"
Applied and Social Sciences,2002,102,"#F88B16"
Applied and Social Sciences,2003,113,"#F88B16"
Applied and Social Sciences,2004,126,"#F88B16"
Applied and Social Sciences,2005,133,"#F88B16"
Applied and Social Sciences,2006,165,"#F88B16"
Applied and Social Sciences,2007,214,"#F88B16"
Applied and Social Sciences,2008,207,"#F88B16"
Applied and Social Sciences,2009,261,"#F88B16"
Applied and Social Sciences,2010,229,"#F88B16"
Applied and Social Sciences,2011,273,"#F88B16"
Applied and Social Sciences,2012,289,"#F88B16"
Applied and Social Sciences,2013,321,"#F88B16"
Applied and Social Sciences,2014,328,"#F88B16"
Applied and Social Sciences,2015,333,"#F88B16"
Applied and Social Sciences,2016,319,"#F88B16"
Applied and Social Sciences,2017,314,"#F88B16"
Biological Sciences,1959,1,"#4D5048"
Biological Sciences,1960,0,"#4D5048"
Biological Sciences,1961,0,"#4D5048"
Biological Sciences,1962,2,"#4D5048"
Biological Sciences,1963,2,"#4D5048"
Biological Sciences,1964,0,"#4D5048"
Biological Sciences,1965,1,"#4D5048"
Biological Sciences,1966,4,"#4D5048"
Biological Sciences,1967,1,"#4D5048"
Biological Sciences,1968,2,"#4D5048"
Biological Sciences,1969,1,"#4D5048"
Biological Sciences,1970,9,"#4D5048"
Biological Sciences,1971,8,"#4D5048"
Biological Sciences,1972,11,"#4D5048"
Biological Sciences,1973,12,"#4D5048"
Biological Sciences,1974,8,"#4D5048"
Biological Sciences,1975,17,"#4D5048"
Biological Sciences,1976,20,"#4D5048"
Biological Sciences,1977,28,"#4D5048"
Biological Sciences,1978,21,"#4D5048"
Biological Sciences,1979,36,"#4D5048"
Biological Sciences,1980,43,"#4D5048"
Biological Sciences,1981,46,"#4D5048"
Biological Sciences,1982,80,"#4D5048"
Biological Sciences,1983,66,"#4D5048"
Biological Sciences,1984,73,"#4D5048"
Biological Sciences,1985,84,"#4D5048"
Biological Sciences,1986,96,"#4D5048"
Biological Sciences,1987,102,"#4D5048"
Biological Sciences,1988,125,"#4D5048"
Biological Sciences,1989,140,"#4D5048"
Biological Sciences,1990,138,"#4D5048"
Biological Sciences,1991,182,"#4D5048"
Biological Sciences,1992,220,"#4D5048"
Biological Sciences,1993,257,"#4D5048"
Biological Sciences,1994,296,"#4D5048"
Biological Sciences,1995,428,"#4D5048"
Biological Sciences,1996,427,"#4D5048"
Biological Sciences,1997,555,"#4D5048"
Biological Sciences,1998,635,"#4D5048"
Biological Sciences,1999,809,"#4D5048"
Biological Sciences,2000,1003,"#4D5048"
Biological Sciences,2001,1174,"#4D5048"
Biological Sciences,2002,1298,"#4D5048"
Biological Sciences,2003,1585,"#4D5048"
Biological Sciences,2004,1612,"#4D5048"
Biological Sciences,2005,1895,"#4D5048"
Biological Sciences,2006,1940,"#4D5048"
Biological Sciences,2007,2472,"#4D5048"
Biological Sciences,2008,2741,"#4D5048"
Biological Sciences,2009,3086,"#4D5048"
Biological Sciences,2010,3316,"#4D5048"
Biological Sciences,2011,3782,"#4D5048"
Biological Sciences,2012,4045,"#4D5048"
Biological Sciences,2013,4428,"#4D5048"
Biological Sciences,2014,4601,"#4D5048"
Biological Sciences,2015,4465,"#4D5048"
Biological Sciences,2016,4606,"#4D5048"
Biological Sciences,2017,4439,"#4D5048"
Engineering,1973,1,"#3BBE90"
Engineering,1974,0,"#3BBE90"
Engineering,1975,0,"#3BBE90"
Engineering,1976,1,"#3BBE90"
Engineering,1977,3,"#3BBE90"
Engineering,1978,3,"#3BBE90"
Engineering,1979,2,"#3BBE90"
Engineering,1980,5,"#3BBE90"
Engineering,1981,7,"#3BBE90"
Engineering,1982,3,"#3BBE90"
Engineering,1983,4,"#3BBE90"
Engineering,1984,4,"#3BBE90"
Engineering,1985,11,"#3BBE90"
Engineering,1986,5,"#3BBE90"
Engineering,1987,9,"#3BBE90"
Engineering,1988,9,"#3BBE90"
Engineering,1989,9,"#3BBE90"
Engineering,1990,16,"#3BBE90"
Engineering,1991,17,"#3BBE90"
Engineering,1992,21,"#3BBE90"
Engineering,1993,17,"#3BBE90"
Engineering,1994,32,"#3BBE90"
Engineering,1995,23,"#3BBE90"
Engineering,1996,48,"#3BBE90"
Engineering,1997,78,"#3BBE90"
Engineering,1998,98,"#3BBE90"
Engineering,1999,115,"#3BBE90"
Engineering,2000,142,"#3BBE90"
Engineering,2001,167,"#3BBE90"
Engineering,2002,224,"#3BBE90"
Engineering,2003,224,"#3BBE90"
Engineering,2004,300,"#3BBE90"
Engineering,2005,387,"#3BBE90"
Engineering,2006,402,"#3BBE90"
Engineering,2007,441,"#3BBE90"
Engineering,2008,525,"#3BBE90"
Engineering,2009,676,"#3BBE90"
Engineering,2010,671,"#3BBE90"
Engineering,2011,730,"#3BBE90"
Engineering,2012,858,"#3BBE90"
Engineering,2013,1044,"#3BBE90"
Engineering,2014,1058,"#3BBE90"
Engineering,2015,1066,"#3BBE90"
Engineering,2016,950,"#3BBE90"
Engineering,2017,973,"#3BBE90"
Exact and Earth Sciences,1966,3,"#3FC0FF"
Exact and Earth Sciences,1967,0,"#3FC0FF"
Exact and Earth Sciences,1968,0,"#3FC0FF"
Exact and Earth Sciences,1969,0,"#3FC0FF"
Exact and Earth Sciences,1970,1,"#3FC0FF"
Exact and Earth Sciences,1971,0,"#3FC0FF"
Exact and Earth Sciences,1972,1,"#3FC0FF"
Exact and Earth Sciences,1973,3,"#3FC0FF"
Exact and Earth Sciences,1974,7,"#3FC0FF"
Exact and Earth Sciences,1975,4,"#3FC0FF"
Exact and Earth Sciences,1976,5,"#3FC0FF"
Exact and Earth Sciences,1977,9,"#3FC0FF"
Exact and Earth Sciences,1978,14,"#3FC0FF"
