great_area,ano,qtde,color
Ciências Agrárias,1966,3,"#F65582"
Ciências Agrárias,1967,0,"#F65582"
Ciências Agrárias,1968,0,"#F65582"
Ciências Agrárias,1969,0,"#F65582"
Ciências Agrárias,1970,1,"#F65582"
Ciências Agrárias,1971,0,"#F65582"
Ciências Agrárias,1972,1,"#F65582"
Ciências Agrárias,1973,3,"#F65582"
Ciências Agrárias,1974,7,"#F65582"
Ciências Agrárias,1975,4,"#F65582"
Ciências Agrárias,1976,5,"#F65582"
Ciências Agrárias,1977,9,"#F65582"
Ciências Agrárias,1978,14,"#F65582"
Ciências Agrárias,1979,25,"#F65582"
Ciências Agrárias,1980,16,"#F65582"
Ciências Agrárias,1981,11,"#F65582"
Ciências Agrárias,1982,28,"#F65582"
Ciências Agrárias,1983,28,"#F65582"
Ciências Agrárias,1984,19,"#F65582"
Ciências Agrárias,1985,16,"#F65582"
Ciências Agrárias,1986,35,"#F65582"
Ciências Agrárias,1987,25,"#F65582"
Ciências Agrárias,1988,43,"#F65582"
Ciências Agrárias,1989,49,"#F65582"
Ciências Agrárias,1990,44,"#F65582"
Ciências Agrárias,1991,66,"#F65582"
Ciências Agrárias,1992,53,"#F65582"
Ciências Agrárias,1993,66,"#F65582"
Ciências Agrárias,1994,89,"#F65582"
Ciências Agrárias,1995,108,"#F65582"
Ciências Agrárias,1996,133,"#F65582"
Ciências Agrárias,1997,167,"#F65582"
Ciências Agrárias,1998,237,"#F65582"
Ciências Agrárias,1999,300,"#F65582"
Ciências Agrárias,2000,352,"#F65582"
Ciências Agrárias,2001,363,"#F65582"
Ciências Agrárias,2002,515,"#F65582"
Ciências Agrárias,2003,469,"#F65582"
Ciências Agrárias,2004,541,"#F65582"
Ciências Agrárias,2005,692,"#F65582"
Ciências Agrárias,2006,733,"#F65582"
Ciências Agrárias,2007,902,"#F65582"
Ciências Agrárias,2008,1011,"#F65582"
Ciências Agrárias,2009,1146,"#F65582"
Ciências Agrárias,2010,1171,"#F65582"
Ciências Agrárias,2011,1332,"#F65582"
Ciências Agrárias,2012,1516,"#F65582"
Ciências Agrárias,2013,1669,"#F65582"
Ciências Agrárias,2014,1745,"#F65582"
Ciências Agrárias,2015,1833,"#F65582"
Ciências Agrárias,2016,1883,"#F65582"
Ciências Agrárias,2017,1776,"#F65582"
Ciências Biológicas,1962,2,"#4D5048"
Ciências Biológicas,1963,0,"#4D5048"
Ciências Biológicas,1964,0,"#4D5048"
Ciências Biológicas,1965,0,"#4D5048"
Ciências Biológicas,1966,2,"#4D5048"
Ciências Biológicas,1967,0,"#4D5048"
Ciências Biológicas,1968,0,"#4D5048"
Ciências Biológicas,1969,1,"#4D5048"
Ciências Biológicas,1970,0,"#4D5048"
Ciências Biológicas,1971,3,"#4D5048"
Ciências Biológicas,1972,1,"#4D5048"
Ciências Biológicas,1973,1,"#4D5048"
Ciências Biológicas,1974,3,"#4D5048"
Ciências Biológicas,1975,3,"#4D5048"
Ciências Biológicas,1976,5,"#4D5048"
Ciências Biológicas,1977,8,"#4D5048"
Ciências Biológicas,1978,7,"#4D5048"
Ciências Biológicas,1979,10,"#4D5048"
Ciências Biológicas,1980,13,"#4D5048"
Ciências Biológicas,1981,15,"#4D5048"
Ciências Biológicas,1982,17,"#4D5048"
Ciências Biológicas,1983,15,"#4D5048"
Ciências Biológicas,1984,27,"#4D5048"
Ciências Biológicas,1985,38,"#4D5048"
Ciências Biológicas,1986,43,"#4D5048"
Ciências Biológicas,1987,35,"#4D5048"
Ciências Biológicas,1988,54,"#4D5048"
Ciências Biológicas,1989,47,"#4D5048"
Ciências Biológicas,1990,62,"#4D5048"
Ciências Biológicas,1991,78,"#4D5048"
Ciências Biológicas,1992,61,"#4D5048"
Ciências Biológicas,1993,83,"#4D5048"
Ciências Biológicas,1994,107,"#4D5048"
Ciências Biológicas,1995,133,"#4D5048"
Ciências Biológicas,1996,160,"#4D5048"
Ciências Biológicas,1997,210,"#4D5048"
Ciências Biológicas,1998,245,"#4D5048"
Ciências Biológicas,1999,343,"#4D5048"
Ciências Biológicas,2000,417,"#4D5048"
Ciências Biológicas,2001,467,"#4D5048"
Ciências Biológicas,2002,587,"#4D5048"
Ciências Biológicas,2003,664,"#4D5048"
Ciências Biológicas,2004,842,"#4D5048"
Ciências Biológicas,2005,979,"#4D5048"
Ciências Biológicas,2006,1143,"#4D5048"
Ciências Biológicas,2007,1314,"#4D5048"
Ciências Biológicas,2008,1512,"#4D5048"
Ciências Biológicas,2009,1609,"#4D5048"
Ciências Biológicas,2010,1824,"#4D5048"
Ciências Biológicas,2011,2113,"#4D5048"
Ciências Biológicas,2012,2441,"#4D5048"
