great_area,ano,qtde,color
Agrarian Sciences,1973,1,"#F65582"
Agrarian Sciences,1974,0,"#F65582"
Agrarian Sciences,1975,0,"#F65582"
Agrarian Sciences,1976,1,"#F65582"
Agrarian Sciences,1977,3,"#F65582"
Agrarian Sciences,1978,3,"#F65582"
Agrarian Sciences,1979,2,"#F65582"
Agrarian Sciences,1980,5,"#F65582"
Agrarian Sciences,1981,7,"#F65582"
Agrarian Sciences,1982,3,"#F65582"
Agrarian Sciences,1983,4,"#F65582"
Agrarian Sciences,1984,4,"#F65582"
Agrarian Sciences,1985,11,"#F65582"
Agrarian Sciences,1986,5,"#F65582"
Agrarian Sciences,1987,9,"#F65582"
Agrarian Sciences,1988,9,"#F65582"
Agrarian Sciences,1989,9,"#F65582"
Agrarian Sciences,1990,16,"#F65582"
Agrarian Sciences,1991,17,"#F65582"
Agrarian Sciences,1992,21,"#F65582"
Agrarian Sciences,1993,17,"#F65582"
Agrarian Sciences,1994,32,"#F65582"
Agrarian Sciences,1995,23,"#F65582"
Agrarian Sciences,1996,48,"#F65582"
Agrarian Sciences,1997,78,"#F65582"
Agrarian Sciences,1998,98,"#F65582"
Agrarian Sciences,1999,115,"#F65582"
Agrarian Sciences,2000,142,"#F65582"
Agrarian Sciences,2001,167,"#F65582"
Agrarian Sciences,2002,224,"#F65582"
Agrarian Sciences,2003,224,"#F65582"
Agrarian Sciences,2004,300,"#F65582"
Agrarian Sciences,2005,387,"#F65582"
Agrarian Sciences,2006,402,"#F65582"
Agrarian Sciences,2007,441,"#F65582"
Agrarian Sciences,2008,525,"#F65582"
Agrarian Sciences,2009,676,"#F65582"
Agrarian Sciences,2010,671,"#F65582"
Agrarian Sciences,2011,730,"#F65582"
Agrarian Sciences,2012,858,"#F65582"
Agrarian Sciences,2013,1044,"#F65582"
Agrarian Sciences,2014,1058,"#F65582"
Agrarian Sciences,2015,1066,"#F65582"
Agrarian Sciences,2016,950,"#F65582"
Agrarian Sciences,2017,973,"#F65582"
Applied and Social Sciences,1978,1,"#F88B16"
Applied and Social Sciences,1979,1,"#F88B16"
Applied and Social Sciences,1980,1,"#F88B16"
Applied and Social Sciences,1981,0,"#F88B16"
Applied and Social Sciences,1982,3,"#F88B16"
Applied and Social Sciences,1983,2,"#F88B16"
Applied and Social Sciences,1984,5,"#F88B16"
Applied and Social Sciences,1985,5,"#F88B16"
Applied and Social Sciences,1986,4,"#F88B16"
Applied and Social Sciences,1987,4,"#F88B16"
Applied and Social Sciences,1988,6,"#F88B16"
Applied and Social Sciences,1989,4,"#F88B16"
Applied and Social Sciences,1990,10,"#F88B16"
Applied and Social Sciences,1991,9,"#F88B16"
Applied and Social Sciences,1992,13,"#F88B16"
Applied and Social Sciences,1993,12,"#F88B16"
Applied and Social Sciences,1994,16,"#F88B16"
Applied and Social Sciences,1995,28,"#F88B16"
Applied and Social Sciences,1996,32,"#F88B16"
Applied and Social Sciences,1997,44,"#F88B16"
Applied and Social Sciences,1998,55,"#F88B16"
Applied and Social Sciences,1999,72,"#F88B16"
Applied and Social Sciences,2000,84,"#F88B16"
Applied and Social Sciences,2001,100,"#F88B16"
Applied and Social Sciences,2002,116,"#F88B16"
Applied and Social Sciences,2003,121,"#F88B16"
Applied and Social Sciences,2004,160,"#F88B16"
Applied and Social Sciences,2005,189,"#F88B16"
Applied and Social Sciences,2006,223,"#F88B16"
Applied and Social Sciences,2007,251,"#F88B16"
Applied and Social Sciences,2008,340,"#F88B16"
Applied and Social Sciences,2009,366,"#F88B16"
Applied and Social Sciences,2010,407,"#F88B16"
Applied and Social Sciences,2011,505,"#F88B16"
Applied and Social Sciences,2012,636,"#F88B16"
Applied and Social Sciences,2013,664,"#F88B16"
Applied and Social Sciences,2014,739,"#F88B16"
Applied and Social Sciences,2015,748,"#F88B16"
Applied and Social Sciences,2016,665,"#F88B16"
Applied and Social Sciences,2017,580,"#F88B16"
Biological Sciences,1976,1,"#4D5048"
Biological Sciences,1977,0,"#4D5048"
Biological Sciences,1978,1,"#4D5048"
Biological Sciences,1979,0,"#4D5048"
Biological Sciences,1980,1,"#4D5048"
Biological Sciences,1981,3,"#4D5048"
Biological Sciences,1982,1,"#4D5048"
Biological Sciences,1983,2,"#4D5048"
Biological Sciences,1984,3,"#4D5048"
Biological Sciences,1985,8,"#4D5048"
Biological Sciences,1986,12,"#4D5048"
Biological Sciences,1987,12,"#4D5048"
Biological Sciences,1988,16,"#4D5048"
Biological Sciences,1989,17,"#4D5048"
Biological Sciences,1990,13,"#4D5048"
Biological Sciences,1991,19,"#4D5048"
Biological Sciences,1992,20,"#4D5048"
Biological Sciences,1993,23,"#4D5048"
Biological Sciences,1994,24,"#4D5048"
Biological Sciences,1995,35,"#4D5048"
Biological Sciences,1996,46,"#4D5048"
Biological Sciences,1997,40,"#4D5048"
Biological Sciences,1998,71,"#4D5048"
Biological Sciences,1999,80,"#4D5048"
Biological Sciences,2000,112,"#4D5048"
Biological Sciences,2001,140,"#4D5048"
Biological Sciences,2002,169,"#4D5048"
Biological Sciences,2003,182,"#4D5048"
Biological Sciences,2004,222,"#4D5048"
Biological Sciences,2005,262,"#4D5048"
Biological Sciences,2006,339,"#4D5048"
Biological Sciences,2007,364,"#4D5048"
Biological Sciences,2008,452,"#4D5048"
Biological Sciences,2009,542,"#4D5048"
Biological Sciences,2010,497,"#4D5048"
Biological Sciences,2011,632,"#4D5048"
Biological Sciences,2012,692,"#4D5048"
Biological Sciences,2013,787,"#4D5048"
Biological Sciences,2014,759,"#4D5048"
Biological Sciences,2015,811,"#4D5048"
Biological Sciences,2016,792,"#4D5048"
Biological Sciences,2017,775,"#4D5048"
Exact and Earth Sciences,1952,1,"#3FC0FF"
Exact and Earth Sciences,1953,0,"#3FC0FF"
Exact and Earth Sciences,1954,2,"#3FC0FF"
Exact and Earth Sciences,1955,0,"#3FC0FF"
Exact and Earth Sciences,1956,0,"#3FC0FF"
Exact and Earth Sciences,1957,0,"#3FC0FF"
Exact and Earth Sciences,1958,0,"#3FC0FF"
Exact and Earth Sciences,1959,0,"#3FC0FF"
Exact and Earth Sciences,1960,0,"#3FC0FF"
Exact and Earth Sciences,1961,0,"#3FC0FF"
Exact and Earth Sciences,1962,0,"#3FC0FF"
Exact and Earth Sciences,1963,1,"#3FC0FF"
Exact and Earth Sciences,1964,3,"#3FC0FF"
Exact and Earth Sciences,1965,1,"#3FC0FF"
Exact and Earth Sciences,1966,2,"#3FC0FF"
Exact and Earth Sciences,1967,0,"#3FC0FF"
Exact and Earth Sciences,1968,1,"#3FC0FF"
Exact and Earth Sciences,1969,0,"#3FC0FF"
Exact and Earth Sciences,1970,2,"#3FC0FF"
Exact and Earth Sciences,1971,3,"#3FC0FF"
Exact and Earth Sciences,1972,0,"#3FC0FF"
Exact and Earth Sciences,1973,3,"#3FC0FF"
Exact and Earth Sciences,1974,5,"#3FC0FF"
Exact and Earth Sciences,1975,5,"#3FC0FF"
Exact and Earth Sciences,1976,5,"#3FC0FF"
Exact and Earth Sciences,1977,5,"#3FC0FF"
Exact and Earth Sciences,1978,8,"#3FC0FF"
Exact and Earth Sciences,1979,6,"#3FC0FF"
Exact and Earth Sciences,1980,10,"#3FC0FF"
Exact and Earth Sciences,1981,12,"#3FC0FF"
Exact and Earth Sciences,1982,22,"#3FC0FF"
Exact and Earth Sciences,1983,16,"#3FC0FF"
Exact and Earth Sciences,1984,18,"#3FC0FF"
Exact and Earth Sciences,1985,24,"#3FC0FF"
Exact and Earth Sciences,1986,34,"#3FC0FF"
Exact and Earth Sciences,1987,44,"#3FC0FF"
Exact and Earth Sciences,1988,62,"#3FC0FF"
Exact and Earth Sciences,1989,63,"#3FC0FF"
Exact and Earth Sciences,1990,59,"#3FC0FF"
Exact and Earth Sciences,1991,78,"#3FC0FF"
Exact and Earth Sciences,1992,109,"#3FC0FF"
Exact and Earth Sciences,1993,103,"#3FC0FF"
Exact and Earth Sciences,1994,163,"#3FC0FF"
Exact and Earth Sciences,1995,188,"#3FC0FF"
Exact and Earth Sciences,1996,304,"#3FC0FF"
Exact and Earth Sciences,1997,325,"#3FC0FF"
Exact and Earth Sciences,1998,400,"#3FC0FF"
Exact and Earth Sciences,1999,484,"#3FC0FF"
Exact and Earth Sciences,2000,585,"#3FC0FF"
Exact and Earth Sciences,2001,731,"#3FC0FF"
Exact and Earth Sciences,2002,894,"#3FC0FF"
Exact and Earth Sciences,2003,937,"#3FC0FF"
Exact and Earth Sciences,2004,1158,"#3FC0FF"
Exact and Earth Sciences,2005,1272,"#3FC0FF"
Exact and Earth Sciences,2006,1402,"#3FC0FF"
Exact and Earth Sciences,2007,1618,"#3FC0FF"
Exact and Earth Sciences,2008,1787,"#3FC0FF"
Exact and Earth Sciences,2009,1873,"#3FC0FF"
Exact and Earth Sciences,2010,1985,"#3FC0FF"
Exact and Earth Sciences,2011,2136,"#3FC0FF"
Exact and Earth Sciences,2012,2767,"#3FC0FF"
Exact and Earth Sciences,2013,2775,"#3FC0FF"
Exact and Earth Sciences,2014,3035,"#3FC0FF"
Exact and Earth Sciences,2015,2904,"#3FC0FF"
Exact and Earth Sciences,2016,3004,"#3FC0FF"
Exact and Earth Sciences,2017,2766,"#3FC0FF"
Health Sciences,1976,1,"#DD87FB"
Health Sciences,1977,1,"#DD87FB"
Health Sciences,1978,0,"#DD87FB"
Health Sciences,1979,0,"#DD87FB"
Health Sciences,1980,1,"#DD87FB"
Health Sciences,1981,1,"#DD87FB"
Health Sciences,1982,1,"#DD87FB"
Health Sciences,1983,4,"#DD87FB"
Health Sciences,1984,2,"#DD87FB"
Health Sciences,1985,3,"#DD87FB"
Health Sciences,1986,5,"#DD87FB"
Health Sciences,1987,7,"#DD87FB"
Health Sciences,1988,6,"#DD87FB"
Health Sciences,1989,10,"#DD87FB"
Health Sciences,1990,18,"#DD87FB"
Health Sciences,1991,16,"#DD87FB"
Health Sciences,1992,15,"#DD87FB"
Health Sciences,1993,18,"#DD87FB"
Health Sciences,1994,22,"#DD87FB"
Health Sciences,1995,35,"#DD87FB"
Health Sciences,1996,41,"#DD87FB"
Health Sciences,1997,39,"#DD87FB"
Health Sciences,1998,69,"#DD87FB"
Health Sciences,1999,73,"#DD87FB"
Health Sciences,2000,98,"#DD87FB"
Health Sciences,2001,112,"#DD87FB"
Health Sciences,2002,165,"#DD87FB"
Health Sciences,2003,171,"#DD87FB"
Health Sciences,2004,240,"#DD87FB"
Health Sciences,2005,255,"#DD87FB"
Health Sciences,2006,350,"#DD87FB"
Health Sciences,2007,377,"#DD87FB"
Health Sciences,2008,501,"#DD87FB"
Health Sciences,2009,568,"#DD87FB"
Health Sciences,2010,588,"#DD87FB"
Health Sciences,2011,680,"#DD87FB"
Health Sciences,2012,739,"#DD87FB"
Health Sciences,2013,776,"#DD87FB"
Health Sciences,2014,694,"#DD87FB"
Health Sciences,2015,740,"#DD87FB"
Health Sciences,2016,741,"#DD87FB"
Health Sciences,2017,635,"#DD87FB"
Humanities,1974,1,"#74BF00"
Humanities,1975,1,"#74BF00"
Humanities,1976,1,"#74BF00"
Humanities,1977,0,"#74BF00"
Humanities,1978,0,"#74BF00"
Humanities,1979,0,"#74BF00"
Humanities,1980,1,"#74BF00"
Humanities,1981,0,"#74BF00"
Humanities,1982,1,"#74BF00"
Humanities,1983,2,"#74BF00"
Humanities,1984,4,"#74BF00"
Humanities,1985,3,"#74BF00"
Humanities,1986,1,"#74BF00"
Humanities,1987,5,"#74BF00"
Humanities,1988,5,"#74BF00"
Humanities,1989,4,"#74BF00"
Humanities,1990,5,"#74BF00"
Humanities,1991,7,"#74BF00"
Humanities,1992,10,"#74BF00"
Humanities,1993,6,"#74BF00"
Humanities,1994,6,"#74BF00"
Humanities,1995,18,"#74BF00"
Humanities,1996,19,"#74BF00"
Humanities,1997,27,"#74BF00"
Humanities,1998,38,"#74BF00"
Humanities,1999,43,"#74BF00"
Humanities,2000,44,"#74BF00"
Humanities,2001,60,"#74BF00"
Humanities,2002,56,"#74BF00"
Humanities,2003,79,"#74BF00"
Humanities,2004,101,"#74BF00"
Humanities,2005,90,"#74BF00"
Humanities,2006,117,"#74BF00"
Humanities,2007,123,"#74BF00"
Humanities,2008,150,"#74BF00"
Humanities,2009,155,"#74BF00"
Humanities,2010,183,"#74BF00"
Humanities,2011,211,"#74BF00"
Humanities,2012,282,"#74BF00"
Humanities,2013,267,"#74BF00"
Humanities,2014,261,"#74BF00"
Humanities,2015,227,"#74BF00"
Humanities,2016,245,"#74BF00"
Humanities,2017,222,"#74BF00"
Linguistics Letters and Arts,1985,1,"#d1B7A9"
Linguistics Letters and Arts,1986,0,"#d1B7A9"
Linguistics Letters and Arts,1987,0,"#d1B7A9"
Linguistics Letters and Arts,1988,1,"#d1B7A9"
Linguistics Letters and Arts,1989,2,"#d1B7A9"
Linguistics Letters and Arts,1990,2,"#d1B7A9"
Linguistics Letters and Arts,1991,1,"#d1B7A9"
Linguistics Letters and Arts,1992,2,"#d1B7A9"
Linguistics Letters and Arts,1993,1,"#d1B7A9"
Linguistics Letters and Arts,1994,4,"#d1B7A9"
Linguistics Letters and Arts,1995,0,"#d1B7A9"
Linguistics Letters and Arts,1996,3,"#d1B7A9"
Linguistics Letters and Arts,1997,5,"#d1B7A9"
Linguistics Letters and Arts,1998,5,"#d1B7A9"
Linguistics Letters and Arts,1999,4,"#d1B7A9"
Linguistics Letters and Arts,2000,7,"#d1B7A9"
Linguistics Letters and Arts,2001,7,"#d1B7A9"
Linguistics Letters and Arts,2002,14,"#d1B7A9"
Linguistics Letters and Arts,2003,13,"#d1B7A9"
Linguistics Letters and Arts,2004,15,"#d1B7A9"
Linguistics Letters and Arts,2005,16,"#d1B7A9"
Linguistics Letters and Arts,2006,15,"#d1B7A9"
Linguistics Letters and Arts,2007,21,"#d1B7A9"
Linguistics Letters and Arts,2008,29,"#d1B7A9"
Linguistics Letters and Arts,2009,24,"#d1B7A9"
Linguistics Letters and Arts,2010,31,"#d1B7A9"
Linguistics Letters and Arts,2011,28,"#d1B7A9"
Linguistics Letters and Arts,2012,34,"#d1B7A9"
Linguistics Letters and Arts,2013,38,"#d1B7A9"
Linguistics Letters and Arts,2014,50,"#d1B7A9"
Linguistics Letters and Arts,2015,34,"#d1B7A9"
Linguistics Letters and Arts,2016,46,"#d1B7A9"
Linguistics Letters and Arts,2017,25,"#d1B7A9"
