great_area,ano,qtde,color
Agrarian Sciences,1986,2,"#F65582"
Agrarian Sciences,1987,0,"#F65582"
Agrarian Sciences,1988,3,"#F65582"
Agrarian Sciences,1989,1,"#F65582"
Agrarian Sciences,1990,0,"#F65582"
Agrarian Sciences,1991,1,"#F65582"
Agrarian Sciences,1992,3,"#F65582"
Agrarian Sciences,1993,2,"#F65582"
Agrarian Sciences,1994,1,"#F65582"
Agrarian Sciences,1995,3,"#F65582"
Agrarian Sciences,1996,2,"#F65582"
Agrarian Sciences,1997,10,"#F65582"
Agrarian Sciences,1998,10,"#F65582"
Agrarian Sciences,1999,5,"#F65582"
Agrarian Sciences,2000,10,"#F65582"
Agrarian Sciences,2001,14,"#F65582"
Agrarian Sciences,2002,17,"#F65582"
Agrarian Sciences,2003,24,"#F65582"
Agrarian Sciences,2004,15,"#F65582"
Agrarian Sciences,2005,6,"#F65582"
Agrarian Sciences,2006,13,"#F65582"
Agrarian Sciences,2007,21,"#F65582"
Agrarian Sciences,2008,21,"#F65582"
Agrarian Sciences,2009,24,"#F65582"
Agrarian Sciences,2010,15,"#F65582"
Agrarian Sciences,2011,24,"#F65582"
Agrarian Sciences,2012,26,"#F65582"
Agrarian Sciences,2013,37,"#F65582"
Agrarian Sciences,2014,33,"#F65582"
Agrarian Sciences,2015,37,"#F65582"
Agrarian Sciences,2016,29,"#F65582"
Agrarian Sciences,2017,27,"#F65582"
Applied and Social Sciences,1975,1,"#F88B16"
Applied and Social Sciences,1976,0,"#F88B16"
Applied and Social Sciences,1977,0,"#F88B16"
Applied and Social Sciences,1978,0,"#F88B16"
Applied and Social Sciences,1979,1,"#F88B16"
Applied and Social Sciences,1980,0,"#F88B16"
Applied and Social Sciences,1981,0,"#F88B16"
Applied and Social Sciences,1982,1,"#F88B16"
Applied and Social Sciences,1983,2,"#F88B16"
Applied and Social Sciences,1984,1,"#F88B16"
Applied and Social Sciences,1985,4,"#F88B16"
Applied and Social Sciences,1986,3,"#F88B16"
Applied and Social Sciences,1987,5,"#F88B16"
Applied and Social Sciences,1988,1,"#F88B16"
