great_area,ano,qtde,color
Ciências Biológicas,1971,5,"#4393c3"
Ciências Biológicas,1972,2,"#4393c3"
Ciências Biológicas,1973,3,"#4393c3"
Ciências Biológicas,1974,6,"#4393c3"
Ciências Biológicas,1975,14,"#4393c3"
Ciências Biológicas,1976,22,"#4393c3"
Ciências Biológicas,1977,16,"#4393c3"
Ciências Biológicas,1978,23,"#4393c3"
Ciências Biológicas,1979,34,"#4393c3"
Ciências Biológicas,1980,20,"#4393c3"
Ciências Biológicas,1981,40,"#4393c3"
Ciências Biológicas,1982,71,"#4393c3"
Ciências Biológicas,1983,53,"#4393c3"
Ciências Biológicas,1984,72,"#4393c3"
Ciências Biológicas,1985,52,"#4393c3"
Ciências Biológicas,1986,92,"#4393c3"
Ciências Biológicas,1987,126,"#4393c3"
Ciências Biológicas,1988,153,"#4393c3"
Ciências Biológicas,1989,190,"#4393c3"
Ciências Biológicas,1990,194,"#4393c3"
Ciências Biológicas,1991,286,"#4393c3"
Ciências Biológicas,1992,321,"#4393c3"
Ciências Biológicas,1993,502,"#4393c3"
Ciências Biológicas,1994,598,"#4393c3"
Ciências Biológicas,1995,854,"#4393c3"
Ciências Biológicas,1996,1172,"#4393c3"
Ciências Biológicas,1997,1482,"#4393c3"
Ciências Biológicas,1998,1668,"#4393c3"
Ciências Biológicas,1999,2019,"#4393c3"
Ciências Biológicas,2000,2375,"#4393c3"
Ciências Biológicas,2001,2909,"#4393c3"
Ciências Biológicas,2002,3475,"#4393c3"
Ciências Biológicas,2003,4296,"#4393c3"
Ciências Biológicas,2004,4597,"#4393c3"
Ciências Biológicas,2005,4989,"#4393c3"
Ciências Biológicas,2006,5326,"#4393c3"
Ciências Biológicas,2007,5798,"#4393c3"
Ciências Biológicas,2008,6081,"#4393c3"
Ciências Biológicas,2009,6214,"#4393c3"
Ciências Biológicas,2010,6112,"#4393c3"
Ciências Biológicas,2011,5924,"#4393c3"
Ciências Biológicas,2012,5408,"#4393c3"
Ciências Biológicas,2013,4597,"#4393c3"
Ciências Biológicas,2014,3692,"#4393c3"
Ciências Biológicas,2015,3144,"#4393c3"
Ciências Biológicas,2016,2454,"#4393c3"
Ciências Biológicas,2017,1561,"#4393c3"
Ciências da Saúde,1972,2,"#92c5de"
Ciências da Saúde,1973,2,"#92c5de"
Ciências da Saúde,1974,0,"#92c5de"
Ciências da Saúde,1975,2,"#92c5de"
Ciências da Saúde,1976,2,"#92c5de"
Ciências da Saúde,1977,2,"#92c5de"
Ciências da Saúde,1978,2,"#92c5de"
Ciências da Saúde,1979,3,"#92c5de"
Ciências da Saúde,1980,0,"#92c5de"
Ciências da Saúde,1981,1,"#92c5de"
Ciências da Saúde,1982,1,"#92c5de"
Ciências da Saúde,1983,9,"#92c5de"
Ciências da Saúde,1984,4,"#92c5de"
Ciências da Saúde,1985,7,"#92c5de"
Ciências da Saúde,1986,5,"#92c5de"
Ciências da Saúde,1987,13,"#92c5de"
Ciências da Saúde,1988,14,"#92c5de"
Ciências da Saúde,1989,18,"#92c5de"
Ciências da Saúde,1990,18,"#92c5de"
Ciências da Saúde,1991,32,"#92c5de"
Ciências da Saúde,1992,58,"#92c5de"
Ciências da Saúde,1993,71,"#92c5de"
Ciências da Saúde,1994,67,"#92c5de"
Ciências da Saúde,1995,113,"#92c5de"
Ciências da Saúde,1996,155,"#92c5de"
Ciências da Saúde,1997,151,"#92c5de"
Ciências da Saúde,1998,214,"#92c5de"
Ciências da Saúde,1999,347,"#92c5de"
Ciências da Saúde,2000,404,"#92c5de"
Ciências da Saúde,2001,455,"#92c5de"
Ciências da Saúde,2002,557,"#92c5de"
Ciências da Saúde,2003,733,"#92c5de"
Ciências da Saúde,2004,754,"#92c5de"
Ciências da Saúde,2005,862,"#92c5de"
Ciências da Saúde,2006,1002,"#92c5de"
Ciências da Saúde,2007,1099,"#92c5de"
Ciências da Saúde,2008,1119,"#92c5de"
Ciências da Saúde,2009,1126,"#92c5de"
Ciências da Saúde,2010,1056,"#92c5de"
Ciências da Saúde,2011,1119,"#92c5de"
