great_area,ano,qtde,color
Biological Sciences,1965,1,"#92c5de"
Biological Sciences,1966,0,"#92c5de"
Biological Sciences,1967,1,"#92c5de"
Biological Sciences,1968,0,"#92c5de"
Biological Sciences,1969,0,"#92c5de"
Biological Sciences,1970,0,"#92c5de"
Biological Sciences,1971,4,"#92c5de"
Biological Sciences,1972,2,"#92c5de"
Biological Sciences,1973,3,"#92c5de"
Biological Sciences,1974,5,"#92c5de"
Biological Sciences,1975,3,"#92c5de"
Biological Sciences,1976,11,"#92c5de"
Biological Sciences,1977,7,"#92c5de"
Biological Sciences,1978,20,"#92c5de"
Biological Sciences,1979,10,"#92c5de"
Biological Sciences,1980,30,"#92c5de"
Biological Sciences,1981,40,"#92c5de"
Biological Sciences,1982,90,"#92c5de"
Biological Sciences,1983,55,"#92c5de"
Biological Sciences,1984,108,"#92c5de"
Biological Sciences,1985,87,"#92c5de"
Biological Sciences,1986,135,"#92c5de"
Biological Sciences,1987,198,"#92c5de"
Biological Sciences,1988,247,"#92c5de"
Biological Sciences,1989,211,"#92c5de"
Biological Sciences,1990,290,"#92c5de"
Biological Sciences,1991,537,"#92c5de"
Biological Sciences,1992,508,"#92c5de"
Biological Sciences,1993,1222,"#92c5de"
Biological Sciences,1994,1232,"#92c5de"
Biological Sciences,1995,2002,"#92c5de"
Biological Sciences,1996,3253,"#92c5de"
Biological Sciences,1997,4898,"#92c5de"
Biological Sciences,1998,5409,"#92c5de"
Biological Sciences,1999,7916,"#92c5de"
Biological Sciences,2000,10078,"#92c5de"
Biological Sciences,2001,13382,"#92c5de"
Biological Sciences,2002,17495,"#92c5de"
Biological Sciences,2003,23600,"#92c5de"
Biological Sciences,2004,24957,"#92c5de"
Biological Sciences,2005,33772,"#92c5de"
Biological Sciences,2006,31963,"#92c5de"
Biological Sciences,2007,41234,"#92c5de"
Biological Sciences,2008,41616,"#92c5de"
Biological Sciences,2009,46201,"#92c5de"
Biological Sciences,2010,38673,"#92c5de"
Biological Sciences,2011,33703,"#92c5de"
Biological Sciences,2012,28564,"#92c5de"
Biological Sciences,2013,22324,"#92c5de"
Biological Sciences,2014,15923,"#92c5de"
Biological Sciences,2015,16535,"#92c5de"
Biological Sciences,2016,11072,"#92c5de"
Biological Sciences,2017,5731,"#92c5de"
Engineering,1977,1,"#d1e5f0"
Engineering,1978,1,"#d1e5f0"
Engineering,1979,2,"#d1e5f0"
Engineering,1980,2,"#d1e5f0"
Engineering,1981,10,"#d1e5f0"
Engineering,1982,0,"#d1e5f0"
Engineering,1983,9,"#d1e5f0"
Engineering,1984,17,"#d1e5f0"
Engineering,1985,7,"#d1e5f0"
Engineering,1986,37,"#d1e5f0"
Engineering,1987,36,"#d1e5f0"
Engineering,1988,50,"#d1e5f0"
Engineering,1989,63,"#d1e5f0"
Engineering,1990,71,"#d1e5f0"
Engineering,1991,124,"#d1e5f0"
Engineering,1992,134,"#d1e5f0"
Engineering,1993,315,"#d1e5f0"
Engineering,1994,367,"#d1e5f0"
Engineering,1995,566,"#d1e5f0"
Engineering,1996,1061,"#d1e5f0"
Engineering,1997,1072,"#d1e5f0"
Engineering,1998,1901,"#d1e5f0"
Engineering,1999,2331,"#d1e5f0"
Engineering,2000,3619,"#d1e5f0"
Engineering,2001,4502,"#d1e5f0"
Engineering,2002,6360,"#d1e5f0"
Engineering,2003,7391,"#d1e5f0"
Engineering,2004,10339,"#d1e5f0"
Engineering,2005,11898,"#d1e5f0"
Engineering,2006,14693,"#d1e5f0"
Engineering,2007,13806,"#d1e5f0"
Engineering,2008,15603,"#d1e5f0"
Engineering,2009,15636,"#d1e5f0"
Engineering,2010,18702,"#d1e5f0"
Engineering,2011,17082,"#d1e5f0"
Engineering,2012,16966,"#d1e5f0"
Engineering,2013,11899,"#d1e5f0"
Engineering,2014,11180,"#d1e5f0"
Engineering,2015,11158,"#d1e5f0"
Engineering,2016,9777,"#d1e5f0"
Engineering,2017,5233,"#d1e5f0"
Health Sciences,1975,1,"#f4a582"
Health Sciences,1976,2,"#f4a582"
Health Sciences,1977,1,"#f4a582"
Health Sciences,1978,6,"#f4a582"
Health Sciences,1979,7,"#f4a582"
Health Sciences,1980,3,"#f4a582"
Health Sciences,1981,2,"#f4a582"
Health Sciences,1982,11,"#f4a582"
Health Sciences,1983,18,"#f4a582"
Health Sciences,1984,24,"#f4a582"
Health Sciences,1985,28,"#f4a582"
Health Sciences,1986,16,"#f4a582"
Health Sciences,1987,29,"#f4a582"
Health Sciences,1988,51,"#f4a582"
Health Sciences,1989,61,"#f4a582"
Health Sciences,1990,65,"#f4a582"
Health Sciences,1991,92,"#f4a582"
Health Sciences,1992,151,"#f4a582"
Health Sciences,1993,406,"#f4a582"
Health Sciences,1994,297,"#f4a582"
Health Sciences,1995,674,"#f4a582"
Health Sciences,1996,1200,"#f4a582"
Health Sciences,1997,1395,"#f4a582"
Health Sciences,1998,1582,"#f4a582"
Health Sciences,1999,2757,"#f4a582"
Health Sciences,2000,3367,"#f4a582"
Health Sciences,2001,5014,"#f4a582"
Health Sciences,2002,6511,"#f4a582"
Health Sciences,2003,8638,"#f4a582"
Health Sciences,2004,9956,"#f4a582"
Health Sciences,2005,11342,"#f4a582"
Health Sciences,2006,13818,"#f4a582"
Health Sciences,2007,19414,"#f4a582"
Health Sciences,2008,16869,"#f4a582"
Health Sciences,2009,19619,"#f4a582"
Health Sciences,2010,18587,"#f4a582"
Health Sciences,2011,20988,"#f4a582"
Health Sciences,2012,14779,"#f4a582"
Health Sciences,2013,12608,"#f4a582"
Health Sciences,2014,10828,"#f4a582"
Health Sciences,2015,12946,"#f4a582"
Health Sciences,2016,9411,"#f4a582"
Health Sciences,2017,5194,"#f4a582"
Humanities,1976,1,"#d6604d"
Humanities,1977,0,"#d6604d"
Humanities,1978,0,"#d6604d"
Humanities,1979,0,"#d6604d"
Humanities,1980,0,"#d6604d"
Humanities,1981,4,"#d6604d"
Humanities,1982,3,"#d6604d"
Humanities,1983,4,"#d6604d"
Humanities,1984,1,"#d6604d"
Humanities,1985,4,"#d6604d"
Humanities,1986,3,"#d6604d"
Humanities,1987,21,"#d6604d"
Humanities,1988,29,"#d6604d"
Humanities,1989,29,"#d6604d"
Humanities,1990,48,"#d6604d"
Humanities,1991,34,"#d6604d"
Humanities,1992,61,"#d6604d"
Humanities,1993,168,"#d6604d"
Humanities,1994,92,"#d6604d"
Humanities,1995,251,"#d6604d"
Humanities,1996,311,"#d6604d"
Humanities,1997,364,"#d6604d"
Humanities,1998,693,"#d6604d"
Humanities,1999,922,"#d6604d"
Humanities,2000,1004,"#d6604d"
Humanities,2001,1597,"#d6604d"
Humanities,2002,2436,"#d6604d"
Humanities,2003,3930,"#d6604d"
Humanities,2004,4171,"#d6604d"
Humanities,2005,5697,"#d6604d"
Humanities,2006,5033,"#d6604d"
Humanities,2007,5766,"#d6604d"
Humanities,2008,4759,"#d6604d"
Humanities,2009,7419,"#d6604d"
Humanities,2010,6490,"#d6604d"
Humanities,2011,7002,"#d6604d"
Humanities,2012,4505,"#d6604d"
Humanities,2013,4854,"#d6604d"
Humanities,2014,3913,"#d6604d"
Humanities,2015,4506,"#d6604d"
Humanities,2016,2363,"#d6604d"
Humanities,2017,1788,"#d6604d"
Linguistics Letters and Arts,1980,1,"#b2182b"
Linguistics Letters and Arts,1981,0,"#b2182b"
Linguistics Letters and Arts,1982,0,"#b2182b"
Linguistics Letters and Arts,1983,1,"#b2182b"
Linguistics Letters and Arts,1984,0,"#b2182b"
Linguistics Letters and Arts,1985,0,"#b2182b"
Linguistics Letters and Arts,1986,1,"#b2182b"
Linguistics Letters and Arts,1987,1,"#b2182b"
Linguistics Letters and Arts,1988,0,"#b2182b"
Linguistics Letters and Arts,1989,0,"#b2182b"
Linguistics Letters and Arts,1990,1,"#b2182b"
Linguistics Letters and Arts,1991,1,"#b2182b"
Linguistics Letters and Arts,1992,4,"#b2182b"
Linguistics Letters and Arts,1993,0,"#b2182b"
Linguistics Letters and Arts,1994,5,"#b2182b"
Linguistics Letters and Arts,1995,13,"#b2182b"
Linguistics Letters and Arts,1996,10,"#b2182b"
Linguistics Letters and Arts,1997,31,"#b2182b"
Linguistics Letters and Arts,1998,97,"#b2182b"
Linguistics Letters and Arts,1999,88,"#b2182b"
Linguistics Letters and Arts,2000,275,"#b2182b"
Linguistics Letters and Arts,2001,347,"#b2182b"
Linguistics Letters and Arts,2002,303,"#b2182b"
Linguistics Letters and Arts,2003,247,"#b2182b"
Linguistics Letters and Arts,2004,909,"#b2182b"
Linguistics Letters and Arts,2005,514,"#b2182b"
Linguistics Letters and Arts,2006,767,"#b2182b"
Linguistics Letters and Arts,2007,686,"#b2182b"
Linguistics Letters and Arts,2008,571,"#b2182b"
Linguistics Letters and Arts,2009,673,"#b2182b"
Linguistics Letters and Arts,2010,687,"#b2182b"
Linguistics Letters and Arts,2011,874,"#b2182b"
Linguistics Letters and Arts,2012,624,"#b2182b"
Linguistics Letters and Arts,2013,784,"#b2182b"
Linguistics Letters and Arts,2014,821,"#b2182b"
Linguistics Letters and Arts,2015,664,"#b2182b"
Linguistics Letters and Arts,2016,212,"#b2182b"
Linguistics Letters and Arts,2017,134,"#b2182b"
Exact and Earth Sciences,1973,1,"#fddbc7"
Exact and Earth Sciences,1974,0,"#fddbc7"
Exact and Earth Sciences,1975,6,"#fddbc7"
Exact and Earth Sciences,1976,1,"#fddbc7"
Exact and Earth Sciences,1977,1,"#fddbc7"
Exact and Earth Sciences,1978,1,"#fddbc7"
Exact and Earth Sciences,1979,3,"#fddbc7"
Exact and Earth Sciences,1980,3,"#fddbc7"
Exact and Earth Sciences,1981,10,"#fddbc7"
Exact and Earth Sciences,1982,10,"#fddbc7"
Exact and Earth Sciences,1983,13,"#fddbc7"
Exact and Earth Sciences,1984,19,"#fddbc7"
Exact and Earth Sciences,1985,27,"#fddbc7"
Exact and Earth Sciences,1986,34,"#fddbc7"
Exact and Earth Sciences,1987,74,"#fddbc7"
Exact and Earth Sciences,1988,65,"#fddbc7"
Exact and Earth Sciences,1989,103,"#fddbc7"
Exact and Earth Sciences,1990,131,"#fddbc7"
Exact and Earth Sciences,1991,177,"#fddbc7"
Exact and Earth Sciences,1992,330,"#fddbc7"
Exact and Earth Sciences,1993,347,"#fddbc7"
Exact and Earth Sciences,1994,454,"#fddbc7"
Exact and Earth Sciences,1995,1015,"#fddbc7"
Exact and Earth Sciences,1996,1506,"#fddbc7"
Exact and Earth Sciences,1997,1770,"#fddbc7"
Exact and Earth Sciences,1998,2705,"#fddbc7"
Exact and Earth Sciences,1999,4565,"#fddbc7"
Exact and Earth Sciences,2000,5101,"#fddbc7"
Exact and Earth Sciences,2001,7249,"#fddbc7"
Exact and Earth Sciences,2002,7172,"#fddbc7"
Exact and Earth Sciences,2003,10858,"#fddbc7"
Exact and Earth Sciences,2004,11512,"#fddbc7"
Exact and Earth Sciences,2005,14514,"#fddbc7"
Exact and Earth Sciences,2006,14243,"#fddbc7"
Exact and Earth Sciences,2007,18871,"#fddbc7"
Exact and Earth Sciences,2008,17201,"#fddbc7"
Exact and Earth Sciences,2009,22910,"#fddbc7"
Exact and Earth Sciences,2010,23004,"#fddbc7"
Exact and Earth Sciences,2011,21688,"#fddbc7"
Exact and Earth Sciences,2012,17523,"#fddbc7"
Exact and Earth Sciences,2013,14262,"#fddbc7"
Exact and Earth Sciences,2014,13183,"#fddbc7"
Exact and Earth Sciences,2015,13416,"#fddbc7"
Exact and Earth Sciences,2016,10804,"#fddbc7"
Exact and Earth Sciences,2017,5450,"#fddbc7"
Applied and Social Sciences,1980,2,"#4393c3"
Applied and Social Sciences,1981,3,"#4393c3"
Applied and Social Sciences,1982,2,"#4393c3"
Applied and Social Sciences,1983,1,"#4393c3"
Applied and Social Sciences,1984,9,"#4393c3"
Applied and Social Sciences,1985,9,"#4393c3"
Applied and Social Sciences,1986,9,"#4393c3"
Applied and Social Sciences,1987,7,"#4393c3"
Applied and Social Sciences,1988,23,"#4393c3"
Applied and Social Sciences,1989,10,"#4393c3"
Applied and Social Sciences,1990,14,"#4393c3"
Applied and Social Sciences,1991,23,"#4393c3"
Applied and Social Sciences,1992,20,"#4393c3"
Applied and Social Sciences,1993,57,"#4393c3"
Applied and Social Sciences,1994,80,"#4393c3"
Applied and Social Sciences,1995,118,"#4393c3"
Applied and Social Sciences,1996,183,"#4393c3"
Applied and Social Sciences,1997,251,"#4393c3"
Applied and Social Sciences,1998,234,"#4393c3"
Applied and Social Sciences,1999,435,"#4393c3"
Applied and Social Sciences,2000,914,"#4393c3"
Applied and Social Sciences,2001,949,"#4393c3"
Applied and Social Sciences,2002,2008,"#4393c3"
Applied and Social Sciences,2003,2009,"#4393c3"
Applied and Social Sciences,2004,2760,"#4393c3"
Applied and Social Sciences,2005,4258,"#4393c3"
Applied and Social Sciences,2006,4453,"#4393c3"
Applied and Social Sciences,2007,6002,"#4393c3"
Applied and Social Sciences,2008,4988,"#4393c3"
Applied and Social Sciences,2009,6535,"#4393c3"
Applied and Social Sciences,2010,6329,"#4393c3"
Applied and Social Sciences,2011,5727,"#4393c3"
Applied and Social Sciences,2012,4818,"#4393c3"
Applied and Social Sciences,2013,3878,"#4393c3"
Applied and Social Sciences,2014,3257,"#4393c3"
Applied and Social Sciences,2015,2998,"#4393c3"
Applied and Social Sciences,2016,2544,"#4393c3"
Applied and Social Sciences,2017,1606,"#4393c3"
