great_area,ano,qtde,color
Ciências Agrárias,1971,2,"#2166ac"
Ciências Agrárias,1972,1,"#2166ac"
Ciências Agrárias,1973,0,"#2166ac"
Ciências Agrárias,1974,2,"#2166ac"
Ciências Agrárias,1975,13,"#2166ac"
Ciências Agrárias,1976,28,"#2166ac"
Ciências Agrárias,1977,17,"#2166ac"
Ciências Agrárias,1978,24,"#2166ac"
Ciências Agrárias,1979,33,"#2166ac"
Ciências Agrárias,1980,28,"#2166ac"
Ciências Agrárias,1981,37,"#2166ac"
Ciências Agrárias,1982,44,"#2166ac"
Ciências Agrárias,1983,54,"#2166ac"
Ciências Agrárias,1984,105,"#2166ac"
Ciências Agrárias,1985,74,"#2166ac"
Ciências Agrárias,1986,149,"#2166ac"
Ciências Agrárias,1987,204,"#2166ac"
Ciências Agrárias,1988,202,"#2166ac"
Ciências Agrárias,1989,208,"#2166ac"
Ciências Agrárias,1990,306,"#2166ac"
Ciências Agrárias,1991,623,"#2166ac"
Ciências Agrárias,1992,532,"#2166ac"
Ciências Agrárias,1993,983,"#2166ac"
Ciências Agrárias,1994,1277,"#2166ac"
Ciências Agrárias,1995,2131,"#2166ac"
Ciências Agrárias,1996,2995,"#2166ac"
Ciências Agrárias,1997,4272,"#2166ac"
Ciências Agrárias,1998,5184,"#2166ac"
Ciências Agrárias,1999,8116,"#2166ac"
Ciências Agrárias,2000,8424,"#2166ac"
Ciências Agrárias,2001,12185,"#2166ac"
Ciências Agrárias,2002,16287,"#2166ac"
Ciências Agrárias,2003,22426,"#2166ac"
Ciências Agrárias,2004,24175,"#2166ac"
Ciências Agrárias,2005,36160,"#2166ac"
Ciências Agrárias,2006,33388,"#2166ac"
Ciências Agrárias,2007,39995,"#2166ac"
Ciências Agrárias,2008,41634,"#2166ac"
Ciências Agrárias,2009,48509,"#2166ac"
Ciências Agrárias,2010,39092,"#2166ac"
Ciências Agrárias,2011,30043,"#2166ac"
Ciências Agrárias,2012,26233,"#2166ac"
Ciências Agrárias,2013,23154,"#2166ac"
Ciências Agrárias,2014,15804,"#2166ac"
Ciências Agrárias,2015,15601,"#2166ac"
Ciências Agrárias,2016,10033,"#2166ac"
Ciências Agrárias,2017,6199,"#2166ac"
Ciências Humanas,1970,1,"#fddbc7"
Ciências Humanas,1971,0,"#fddbc7"
Ciências Humanas,1972,0,"#fddbc7"
Ciências Humanas,1973,0,"#fddbc7"
Ciências Humanas,1974,0,"#fddbc7"
Ciências Humanas,1975,0,"#fddbc7"
Ciências Humanas,1976,1,"#fddbc7"
Ciências Humanas,1977,0,"#fddbc7"
Ciências Humanas,1978,0,"#fddbc7"
Ciências Humanas,1979,0,"#fddbc7"
Ciências Humanas,1980,3,"#fddbc7"
Ciências Humanas,1981,0,"#fddbc7"
Ciências Humanas,1982,0,"#fddbc7"
Ciências Humanas,1983,3,"#fddbc7"
Ciências Humanas,1984,5,"#fddbc7"
Ciências Humanas,1985,10,"#fddbc7"
Ciências Humanas,1986,8,"#fddbc7"
Ciências Humanas,1987,26,"#fddbc7"
Ciências Humanas,1988,35,"#fddbc7"
Ciências Humanas,1989,39,"#fddbc7"
Ciências Humanas,1990,27,"#fddbc7"
Ciências Humanas,1991,49,"#fddbc7"
Ciências Humanas,1992,77,"#fddbc7"
