great_area,ano,qtde,color
Agrarian Sciences,1971,5,"#2166ac"
Agrarian Sciences,1972,2,"#2166ac"
Agrarian Sciences,1973,3,"#2166ac"
Agrarian Sciences,1974,6,"#2166ac"
Agrarian Sciences,1975,14,"#2166ac"
Agrarian Sciences,1976,22,"#2166ac"
Agrarian Sciences,1977,16,"#2166ac"
Agrarian Sciences,1978,23,"#2166ac"
Agrarian Sciences,1979,34,"#2166ac"
Agrarian Sciences,1980,20,"#2166ac"
Agrarian Sciences,1981,40,"#2166ac"
Agrarian Sciences,1982,71,"#2166ac"
Agrarian Sciences,1983,53,"#2166ac"
Agrarian Sciences,1984,72,"#2166ac"
Agrarian Sciences,1985,52,"#2166ac"
Agrarian Sciences,1986,92,"#2166ac"
Agrarian Sciences,1987,126,"#2166ac"
Agrarian Sciences,1988,153,"#2166ac"
Agrarian Sciences,1989,190,"#2166ac"
Agrarian Sciences,1990,194,"#2166ac"
Agrarian Sciences,1991,286,"#2166ac"
Agrarian Sciences,1992,321,"#2166ac"
Agrarian Sciences,1993,502,"#2166ac"
Agrarian Sciences,1994,598,"#2166ac"
Agrarian Sciences,1995,854,"#2166ac"
Agrarian Sciences,1996,1172,"#2166ac"
Agrarian Sciences,1997,1482,"#2166ac"
Agrarian Sciences,1998,1668,"#2166ac"
Agrarian Sciences,1999,2019,"#2166ac"
Agrarian Sciences,2000,2375,"#2166ac"
Agrarian Sciences,2001,2909,"#2166ac"
Agrarian Sciences,2002,3475,"#2166ac"
Agrarian Sciences,2003,4296,"#2166ac"
Agrarian Sciences,2004,4597,"#2166ac"
Agrarian Sciences,2005,4989,"#2166ac"
Agrarian Sciences,2006,5326,"#2166ac"
Agrarian Sciences,2007,5798,"#2166ac"
Agrarian Sciences,2008,6081,"#2166ac"
Agrarian Sciences,2009,6214,"#2166ac"
Agrarian Sciences,2010,6112,"#2166ac"
Agrarian Sciences,2011,5924,"#2166ac"
Agrarian Sciences,2012,5408,"#2166ac"
Agrarian Sciences,2013,4597,"#2166ac"
Agrarian Sciences,2014,3692,"#2166ac"
Agrarian Sciences,2015,3144,"#2166ac"
Agrarian Sciences,2016,2454,"#2166ac"
Agrarian Sciences,2017,1561,"#2166ac"
Applied and Social Sciences,1976,1,"#4393c3"
Applied and Social Sciences,1977,0,"#4393c3"
Applied and Social Sciences,1978,0,"#4393c3"
Applied and Social Sciences,1979,1,"#4393c3"
Applied and Social Sciences,1980,0,"#4393c3"
Applied and Social Sciences,1981,2,"#4393c3"
Applied and Social Sciences,1982,0,"#4393c3"
Applied and Social Sciences,1983,1,"#4393c3"
Applied and Social Sciences,1984,2,"#4393c3"
Applied and Social Sciences,1985,1,"#4393c3"
Applied and Social Sciences,1986,1,"#4393c3"
Applied and Social Sciences,1987,5,"#4393c3"
Applied and Social Sciences,1988,3,"#4393c3"
Applied and Social Sciences,1989,8,"#4393c3"
Applied and Social Sciences,1990,8,"#4393c3"
Applied and Social Sciences,1991,6,"#4393c3"
Applied and Social Sciences,1992,3,"#4393c3"
Applied and Social Sciences,1993,13,"#4393c3"
Applied and Social Sciences,1994,21,"#4393c3"
Applied and Social Sciences,1995,33,"#4393c3"
Applied and Social Sciences,1996,45,"#4393c3"
Applied and Social Sciences,1997,62,"#4393c3"
Applied and Social Sciences,1998,69,"#4393c3"
Applied and Social Sciences,1999,51,"#4393c3"
Applied and Social Sciences,2000,59,"#4393c3"
Applied and Social Sciences,2001,101,"#4393c3"
Applied and Social Sciences,2002,94,"#4393c3"
Applied and Social Sciences,2003,139,"#4393c3"
Applied and Social Sciences,2004,169,"#4393c3"
Applied and Social Sciences,2005,167,"#4393c3"
Applied and Social Sciences,2006,139,"#4393c3"
Applied and Social Sciences,2007,124,"#4393c3"
Applied and Social Sciences,2008,124,"#4393c3"
Applied and Social Sciences,2009,126,"#4393c3"
Applied and Social Sciences,2010,126,"#4393c3"
Applied and Social Sciences,2011,140,"#4393c3"
Applied and Social Sciences,2012,129,"#4393c3"
Applied and Social Sciences,2013,126,"#4393c3"
Applied and Social Sciences,2014,89,"#4393c3"
Applied and Social Sciences,2015,99,"#4393c3"
Applied and Social Sciences,2016,72,"#4393c3"
Applied and Social Sciences,2017,48,"#4393c3"
Engineering,1983,4,"#d1e5f0"
Engineering,1984,1,"#d1e5f0"
Engineering,1985,2,"#d1e5f0"
Engineering,1986,4,"#d1e5f0"
Engineering,1987,10,"#d1e5f0"
Engineering,1988,10,"#d1e5f0"
Engineering,1989,18,"#d1e5f0"
Engineering,1990,10,"#d1e5f0"
Engineering,1991,31,"#d1e5f0"
Engineering,1992,29,"#d1e5f0"
Engineering,1993,40,"#d1e5f0"
Engineering,1994,62,"#d1e5f0"
Engineering,1995,69,"#d1e5f0"
Engineering,1996,116,"#d1e5f0"
