great_area,ano,qtde,color
Agrarian Sciences,1973,1,"#2166ac"
Agrarian Sciences,1974,1,"#2166ac"
Agrarian Sciences,1975,0,"#2166ac"
Agrarian Sciences,1976,3,"#2166ac"
Agrarian Sciences,1977,5,"#2166ac"
Agrarian Sciences,1978,9,"#2166ac"
Agrarian Sciences,1979,4,"#2166ac"
Agrarian Sciences,1980,8,"#2166ac"
Agrarian Sciences,1981,15,"#2166ac"
Agrarian Sciences,1982,23,"#2166ac"
Agrarian Sciences,1983,16,"#2166ac"
Agrarian Sciences,1984,13,"#2166ac"
Agrarian Sciences,1985,15,"#2166ac"
Agrarian Sciences,1986,38,"#2166ac"
Agrarian Sciences,1987,94,"#2166ac"
Agrarian Sciences,1988,93,"#2166ac"
Agrarian Sciences,1989,73,"#2166ac"
Agrarian Sciences,1990,112,"#2166ac"
Agrarian Sciences,1991,218,"#2166ac"
Agrarian Sciences,1992,213,"#2166ac"
Agrarian Sciences,1993,353,"#2166ac"
Agrarian Sciences,1994,553,"#2166ac"
Agrarian Sciences,1995,1024,"#2166ac"
Agrarian Sciences,1996,1269,"#2166ac"
Agrarian Sciences,1997,1874,"#2166ac"
Agrarian Sciences,1998,2752,"#2166ac"
Agrarian Sciences,1999,4564,"#2166ac"
Agrarian Sciences,2000,4755,"#2166ac"
Agrarian Sciences,2001,6730,"#2166ac"
Agrarian Sciences,2002,7108,"#2166ac"
Agrarian Sciences,2003,10138,"#2166ac"
Agrarian Sciences,2004,11860,"#2166ac"
Agrarian Sciences,2005,16318,"#2166ac"
Agrarian Sciences,2006,14068,"#2166ac"
Agrarian Sciences,2007,17926,"#2166ac"
Agrarian Sciences,2008,18618,"#2166ac"
Agrarian Sciences,2009,23760,"#2166ac"
Agrarian Sciences,2010,23014,"#2166ac"
Agrarian Sciences,2011,22234,"#2166ac"
Agrarian Sciences,2012,17222,"#2166ac"
Agrarian Sciences,2013,14203,"#2166ac"
Agrarian Sciences,2014,12862,"#2166ac"
Agrarian Sciences,2015,11624,"#2166ac"
Agrarian Sciences,2016,10462,"#2166ac"
Agrarian Sciences,2017,6250,"#2166ac"
Biological Sciences,1970,1,"#92c5de"
Biological Sciences,1971,0,"#92c5de"
Biological Sciences,1972,1,"#92c5de"
Biological Sciences,1973,0,"#92c5de"
Biological Sciences,1974,0,"#92c5de"
Biological Sciences,1975,0,"#92c5de"
Biological Sciences,1976,0,"#92c5de"
Biological Sciences,1977,2,"#92c5de"
Biological Sciences,1978,8,"#92c5de"
Biological Sciences,1979,2,"#92c5de"
Biological Sciences,1980,7,"#92c5de"
Biological Sciences,1981,9,"#92c5de"
Biological Sciences,1982,34,"#92c5de"
Biological Sciences,1983,13,"#92c5de"
Biological Sciences,1984,16,"#92c5de"
Biological Sciences,1985,23,"#92c5de"
Biological Sciences,1986,50,"#92c5de"
Biological Sciences,1987,96,"#92c5de"
Biological Sciences,1988,109,"#92c5de"
Biological Sciences,1989,85,"#92c5de"
Biological Sciences,1990,178,"#92c5de"
Biological Sciences,1991,242,"#92c5de"
Biological Sciences,1992,209,"#92c5de"
Biological Sciences,1993,279,"#92c5de"
Biological Sciences,1994,759,"#92c5de"
Biological Sciences,1995,1014,"#92c5de"
Biological Sciences,1996,2198,"#92c5de"
Biological Sciences,1997,2558,"#92c5de"
Biological Sciences,1998,3119,"#92c5de"
Biological Sciences,1999,4997,"#92c5de"
Biological Sciences,2000,6285,"#92c5de"
Biological Sciences,2001,6357,"#92c5de"
Biological Sciences,2002,9544,"#92c5de"
Biological Sciences,2003,10767,"#92c5de"
Biological Sciences,2004,13367,"#92c5de"
Biological Sciences,2005,17491,"#92c5de"
Biological Sciences,2006,14902,"#92c5de"
Biological Sciences,2007,17041,"#92c5de"
Biological Sciences,2008,16341,"#92c5de"
Biological Sciences,2009,17997,"#92c5de"
Biological Sciences,2010,18058,"#92c5de"
