great_area,ano,qtde,color
Ciências Agrárias,1973,1,"#F65582"
Ciências Agrárias,1974,0,"#F65582"
Ciências Agrárias,1975,2,"#F65582"
Ciências Agrárias,1976,0,"#F65582"
Ciências Agrárias,1977,1,"#F65582"
Ciências Agrárias,1978,2,"#F65582"
Ciências Agrárias,1979,1,"#F65582"
Ciências Agrárias,1980,1,"#F65582"
Ciências Agrárias,1981,8,"#F65582"
Ciências Agrárias,1982,3,"#F65582"
Ciências Agrárias,1983,7,"#F65582"
Ciências Agrárias,1984,8,"#F65582"
Ciências Agrárias,1985,6,"#F65582"
Ciências Agrárias,1986,6,"#F65582"
Ciências Agrárias,1987,15,"#F65582"
Ciências Agrárias,1988,5,"#F65582"
Ciências Agrárias,1989,10,"#F65582"
Ciências Agrárias,1990,8,"#F65582"
Ciências Agrárias,1991,6,"#F65582"
Ciências Agrárias,1992,11,"#F65582"
Ciências Agrárias,1993,12,"#F65582"
Ciências Agrárias,1994,19,"#F65582"
Ciências Agrárias,1995,29,"#F65582"
Ciências Agrárias,1996,36,"#F65582"
Ciências Agrárias,1997,37,"#F65582"
Ciências Agrárias,1998,45,"#F65582"
Ciências Agrárias,1999,80,"#F65582"
Ciências Agrárias,2000,71,"#F65582"
Ciências Agrárias,2001,92,"#F65582"
Ciências Agrárias,2002,102,"#F65582"
Ciências Agrárias,2003,113,"#F65582"
Ciências Agrárias,2004,126,"#F65582"
Ciências Agrárias,2005,133,"#F65582"
Ciências Agrárias,2006,165,"#F65582"
Ciências Agrárias,2007,214,"#F65582"
Ciências Agrárias,2008,207,"#F65582"
Ciências Agrárias,2009,261,"#F65582"
Ciências Agrárias,2010,229,"#F65582"
Ciências Agrárias,2011,273,"#F65582"
Ciências Agrárias,2012,289,"#F65582"
Ciências Agrárias,2013,321,"#F65582"
Ciências Agrárias,2014,328,"#F65582"
Ciências Agrárias,2015,333,"#F65582"
Ciências Agrárias,2016,319,"#F65582"
Ciências Agrárias,2017,314,"#F65582"
Ciências Biológicas,1956,1,"#4D5048"
Ciências Biológicas,1957,0,"#4D5048"
Ciências Biológicas,1958,0,"#4D5048"
Ciências Biológicas,1959,0,"#4D5048"
Ciências Biológicas,1960,0,"#4D5048"
Ciências Biológicas,1961,0,"#4D5048"
Ciências Biológicas,1962,0,"#4D5048"
Ciências Biológicas,1963,0,"#4D5048"
Ciências Biológicas,1964,0,"#4D5048"
Ciências Biológicas,1965,0,"#4D5048"
Ciências Biológicas,1966,0,"#4D5048"
Ciências Biológicas,1967,0,"#4D5048"
Ciências Biológicas,1968,0,"#4D5048"
Ciências Biológicas,1969,0,"#4D5048"
Ciências Biológicas,1970,0,"#4D5048"
Ciências Biológicas,1971,0,"#4D5048"
Ciências Biológicas,1972,0,"#4D5048"
Ciências Biológicas,1973,0,"#4D5048"
Ciências Biológicas,1974,0,"#4D5048"
Ciências Biológicas,1975,1,"#4D5048"
Ciências Biológicas,1976,1,"#4D5048"
Ciências Biológicas,1977,2,"#4D5048"
Ciências Biológicas,1978,2,"#4D5048"
Ciências Biológicas,1979,3,"#4D5048"
Ciências Biológicas,1980,5,"#4D5048"
Ciências Biológicas,1981,4,"#4D5048"
Ciências Biológicas,1982,5,"#4D5048"
Ciências Biológicas,1983,4,"#4D5048"
Ciências Biológicas,1984,3,"#4D5048"
Ciências Biológicas,1985,2,"#4D5048"
Ciências Biológicas,1986,5,"#4D5048"
Ciências Biológicas,1987,6,"#4D5048"
Ciências Biológicas,1988,2,"#4D5048"
Ciências Biológicas,1989,8,"#4D5048"
Ciências Biológicas,1990,6,"#4D5048"
Ciências Biológicas,1991,8,"#4D5048"
Ciências Biológicas,1992,8,"#4D5048"
Ciências Biológicas,1993,11,"#4D5048"
Ciências Biológicas,1994,16,"#4D5048"
Ciências Biológicas,1995,14,"#4D5048"
Ciências Biológicas,1996,25,"#4D5048"
Ciências Biológicas,1997,23,"#4D5048"
Ciências Biológicas,1998,19,"#4D5048"
Ciências Biológicas,1999,31,"#4D5048"
Ciências Biológicas,2000,49,"#4D5048"
Ciências Biológicas,2001,54,"#4D5048"
Ciências Biológicas,2002,47,"#4D5048"
Ciências Biológicas,2003,80,"#4D5048"
Ciências Biológicas,2004,78,"#4D5048"
Ciências Biológicas,2005,77,"#4D5048"
Ciências Biológicas,2006,84,"#4D5048"
Ciências Biológicas,2007,100,"#4D5048"
Ciências Biológicas,2008,123,"#4D5048"
Ciências Biológicas,2009,128,"#4D5048"
Ciências Biológicas,2010,114,"#4D5048"
Ciências Biológicas,2011,146,"#4D5048"
Ciências Biológicas,2012,164,"#4D5048"
Ciências Biológicas,2013,183,"#4D5048"
Ciências Biológicas,2014,202,"#4D5048"
Ciências Biológicas,2015,206,"#4D5048"
Ciências Biológicas,2016,208,"#4D5048"
Ciências Biológicas,2017,206,"#4D5048"
Ciências da Saúde,1972,1,"#DD87FB"
Ciências da Saúde,1973,1,"#DD87FB"
Ciências da Saúde,1974,0,"#DD87FB"
Ciências da Saúde,1975,0,"#DD87FB"
Ciências da Saúde,1976,0,"#DD87FB"
Ciências da Saúde,1977,1,"#DD87FB"
Ciências da Saúde,1978,0,"#DD87FB"
Ciências da Saúde,1979,1,"#DD87FB"
Ciências da Saúde,1980,0,"#DD87FB"
Ciências da Saúde,1981,1,"#DD87FB"
Ciências da Saúde,1982,1,"#DD87FB"
Ciências da Saúde,1983,1,"#DD87FB"
Ciências da Saúde,1984,4,"#DD87FB"
Ciências da Saúde,1985,9,"#DD87FB"
Ciências da Saúde,1986,4,"#DD87FB"
Ciências da Saúde,1987,8,"#DD87FB"
Ciências da Saúde,1988,4,"#DD87FB"
Ciências da Saúde,1989,13,"#DD87FB"
Ciências da Saúde,1990,8,"#DD87FB"
Ciências da Saúde,1991,8,"#DD87FB"
Ciências da Saúde,1992,10,"#DD87FB"
Ciências da Saúde,1993,22,"#DD87FB"
Ciências da Saúde,1994,25,"#DD87FB"
Ciências da Saúde,1995,44,"#DD87FB"
Ciências da Saúde,1996,50,"#DD87FB"
Ciências da Saúde,1997,62,"#DD87FB"
Ciências da Saúde,1998,76,"#DD87FB"
Ciências da Saúde,1999,83,"#DD87FB"
Ciências da Saúde,2000,123,"#DD87FB"
Ciências da Saúde,2001,119,"#DD87FB"
Ciências da Saúde,2002,142,"#DD87FB"
Ciências da Saúde,2003,166,"#DD87FB"
Ciências da Saúde,2004,188,"#DD87FB"
Ciências da Saúde,2005,209,"#DD87FB"
Ciências da Saúde,2006,218,"#DD87FB"
Ciências da Saúde,2007,247,"#DD87FB"
Ciências da Saúde,2008,269,"#DD87FB"
Ciências da Saúde,2009,373,"#DD87FB"
Ciências da Saúde,2010,343,"#DD87FB"
Ciências da Saúde,2011,418,"#DD87FB"
Ciências da Saúde,2012,459,"#DD87FB"
Ciências da Saúde,2013,490,"#DD87FB"
Ciências da Saúde,2014,531,"#DD87FB"
Ciências da Saúde,2015,542,"#DD87FB"
Ciências da Saúde,2016,510,"#DD87FB"
Ciências da Saúde,2017,442,"#DD87FB"
Ciências Exatas e da Terra,1968,1,"#3FC0FF"
Ciências Exatas e da Terra,1969,0,"#3FC0FF"
Ciências Exatas e da Terra,1970,0,"#3FC0FF"
Ciências Exatas e da Terra,1971,0,"#3FC0FF"
Ciências Exatas e da Terra,1972,0,"#3FC0FF"
Ciências Exatas e da Terra,1973,1,"#3FC0FF"
Ciências Exatas e da Terra,1974,0,"#3FC0FF"
Ciências Exatas e da Terra,1975,0,"#3FC0FF"
Ciências Exatas e da Terra,1976,0,"#3FC0FF"
Ciências Exatas e da Terra,1977,1,"#3FC0FF"
Ciências Exatas e da Terra,1978,2,"#3FC0FF"
Ciências Exatas e da Terra,1979,2,"#3FC0FF"
Ciências Exatas e da Terra,1980,2,"#3FC0FF"
Ciências Exatas e da Terra,1981,3,"#3FC0FF"
Ciências Exatas e da Terra,1982,4,"#3FC0FF"
Ciências Exatas e da Terra,1983,1,"#3FC0FF"
Ciências Exatas e da Terra,1984,1,"#3FC0FF"
Ciências Exatas e da Terra,1985,4,"#3FC0FF"
Ciências Exatas e da Terra,1986,3,"#3FC0FF"
Ciências Exatas e da Terra,1987,5,"#3FC0FF"
Ciências Exatas e da Terra,1988,8,"#3FC0FF"
Ciências Exatas e da Terra,1989,12,"#3FC0FF"
Ciências Exatas e da Terra,1990,10,"#3FC0FF"
Ciências Exatas e da Terra,1991,5,"#3FC0FF"
Ciências Exatas e da Terra,1992,12,"#3FC0FF"
Ciências Exatas e da Terra,1993,17,"#3FC0FF"
Ciências Exatas e da Terra,1994,8,"#3FC0FF"
Ciências Exatas e da Terra,1995,17,"#3FC0FF"
Ciências Exatas e da Terra,1996,28,"#3FC0FF"
Ciências Exatas e da Terra,1997,47,"#3FC0FF"
Ciências Exatas e da Terra,1998,36,"#3FC0FF"
Ciências Exatas e da Terra,1999,55,"#3FC0FF"
Ciências Exatas e da Terra,2000,76,"#3FC0FF"
Ciências Exatas e da Terra,2001,61,"#3FC0FF"
Ciências Exatas e da Terra,2002,107,"#3FC0FF"
Ciências Exatas e da Terra,2003,102,"#3FC0FF"
Ciências Exatas e da Terra,2004,147,"#3FC0FF"
Ciências Exatas e da Terra,2005,149,"#3FC0FF"
Ciências Exatas e da Terra,2006,173,"#3FC0FF"
Ciências Exatas e da Terra,2007,217,"#3FC0FF"
Ciências Exatas e da Terra,2008,240,"#3FC0FF"
Ciências Exatas e da Terra,2009,231,"#3FC0FF"
Ciências Exatas e da Terra,2010,276,"#3FC0FF"
Ciências Exatas e da Terra,2011,338,"#3FC0FF"
Ciências Exatas e da Terra,2012,388,"#3FC0FF"
Ciências Exatas e da Terra,2013,455,"#3FC0FF"
Ciências Exatas e da Terra,2014,492,"#3FC0FF"
Ciências Exatas e da Terra,2015,520,"#3FC0FF"
Ciências Exatas e da Terra,2016,537,"#3FC0FF"
Ciências Exatas e da Terra,2017,471,"#3FC0FF"
Ciências Humanas,1968,1,"#74BF00"
Ciências Humanas,1969,0,"#74BF00"
Ciências Humanas,1970,1,"#74BF00"
Ciências Humanas,1971,1,"#74BF00"
