great_area,ano,qtde,color
Ciências Agrárias,1981,4,"#2166ac"
Ciências Agrárias,1982,0,"#2166ac"
Ciências Agrárias,1983,3,"#2166ac"
Ciências Agrárias,1984,6,"#2166ac"
Ciências Agrárias,1985,5,"#2166ac"
Ciências Agrárias,1986,4,"#2166ac"
Ciências Agrárias,1987,12,"#2166ac"
Ciências Agrárias,1988,10,"#2166ac"
Ciências Agrárias,1989,15,"#2166ac"
Ciências Agrárias,1990,21,"#2166ac"
Ciências Agrárias,1991,41,"#2166ac"
Ciências Agrárias,1992,43,"#2166ac"
Ciências Agrárias,1993,62,"#2166ac"
Ciências Agrárias,1994,81,"#2166ac"
Ciências Agrárias,1995,107,"#2166ac"
Ciências Agrárias,1996,152,"#2166ac"
Ciências Agrárias,1997,197,"#2166ac"
Ciências Agrárias,1998,282,"#2166ac"
Ciências Agrárias,1999,381,"#2166ac"
Ciências Agrárias,2000,517,"#2166ac"
Ciências Agrárias,2001,571,"#2166ac"
Ciências Agrárias,2002,711,"#2166ac"
Ciências Agrárias,2003,894,"#2166ac"
Ciências Agrárias,2004,998,"#2166ac"
Ciências Agrárias,2005,920,"#2166ac"
Ciências Agrárias,2006,1060,"#2166ac"
Ciências Agrárias,2007,1167,"#2166ac"
Ciências Agrárias,2008,1086,"#2166ac"
Ciências Agrárias,2009,1207,"#2166ac"
Ciências Agrárias,2010,1217,"#2166ac"
Ciências Agrárias,2011,1233,"#2166ac"
Ciências Agrárias,2012,1138,"#2166ac"
Ciências Agrárias,2013,1000,"#2166ac"
Ciências Agrárias,2014,974,"#2166ac"
Ciências Agrárias,2015,834,"#2166ac"
Ciências Agrárias,2016,645,"#2166ac"
Ciências Agrárias,2017,464,"#2166ac"
Ciências Biológicas,1983,4,"#4393c3"
Ciências Biológicas,1984,1,"#4393c3"
Ciências Biológicas,1985,2,"#4393c3"
Ciências Biológicas,1986,4,"#4393c3"
Ciências Biológicas,1987,10,"#4393c3"
Ciências Biológicas,1988,10,"#4393c3"
