great_area,ano,qtde,color
Ciências Agrárias,1986,2,"#F65385"
Ciências Agrárias,1987,0,"#F65385"
Ciências Agrárias,1988,3,"#F65385"
Ciências Agrárias,1989,1,"#F65385"
Ciências Agrárias,1990,0,"#F65385"
Ciências Agrárias,1991,1,"#F65385"
Ciências Agrárias,1992,3,"#F65385"
Ciências Agrárias,1993,2,"#F65385"
Ciências Agrárias,1994,1,"#F65385"
Ciências Agrárias,1995,3,"#F65385"
Ciências Agrárias,1996,2,"#F65385"
Ciências Agrárias,1997,10,"#F65385"
Ciências Agrárias,1998,10,"#F65385"
Ciências Agrárias,1999,5,"#F65385"
Ciências Agrárias,2000,10,"#F65385"
Ciências Agrárias,2001,14,"#F65385"
Ciências Agrárias,2002,17,"#F65385"
Ciências Agrárias,2003,24,"#F65385"
Ciências Agrárias,2004,15,"#F65385"
Ciências Agrárias,2005,6,"#F65385"
Ciências Agrárias,2006,13,"#F65385"
Ciências Agrárias,2007,21,"#F65385"
Ciências Agrárias,2008,21,"#F65385"
Ciências Agrárias,2009,24,"#F65385"
Ciências Agrárias,2010,15,"#F65385"
Ciências Agrárias,2011,24,"#F65385"
Ciências Agrárias,2012,26,"#F65385"
Ciências Agrárias,2013,37,"#F65385"
Ciências Agrárias,2014,33,"#F65385"
Ciências Agrárias,2015,37,"#F65385"
Ciências Agrárias,2016,29,"#F65385"
Ciências Agrárias,2017,27,"#F65385"
Ciências Biológicas,1985,1,"#4d473F"
Ciências Biológicas,1986,0,"#4d473F"
Ciências Biológicas,1987,1,"#4d473F"
Ciências Biológicas,1988,0,"#4d473F"
Ciências Biológicas,1989,3,"#4d473F"
Ciências Biológicas,1990,2,"#4d473F"
Ciências Biológicas,1991,1,"#4d473F"
Ciências Biológicas,1992,6,"#4d473F"
Ciências Biológicas,1993,1,"#4d473F"
Ciências Biológicas,1994,3,"#4d473F"
Ciências Biológicas,1995,1,"#4d473F"
Ciências Biológicas,1996,4,"#4d473F"
Ciências Biológicas,1997,4,"#4d473F"
Ciências Biológicas,1998,9,"#4d473F"
Ciências Biológicas,1999,6,"#4d473F"
Ciências Biológicas,2000,12,"#4d473F"
Ciências Biológicas,2001,10,"#4d473F"
Ciências Biológicas,2002,18,"#4d473F"
Ciências Biológicas,2003,16,"#4d473F"
Ciências Biológicas,2004,20,"#4d473F"
Ciências Biológicas,2005,18,"#4d473F"
Ciências Biológicas,2006,19,"#4d473F"
Ciências Biológicas,2007,21,"#4d473F"
Ciências Biológicas,2008,33,"#4d473F"
Ciências Biológicas,2009,29,"#4d473F"
Ciências Biológicas,2010,30,"#4d473F"
Ciências Biológicas,2011,39,"#4d473F"
Ciências Biológicas,2012,38,"#4d473F"
Ciências Biológicas,2013,42,"#4d473F"
Ciências Biológicas,2014,52,"#4d473F"
Ciências Biológicas,2015,48,"#4d473F"
Ciências Biológicas,2016,55,"#4d473F"
Ciências Biológicas,2017,59,"#4d473F"
Ciências da Saúde,1981,1,"#D883FB"
Ciências da Saúde,1982,0,"#D883FB"
Ciências da Saúde,1983,0,"#D883FB"
Ciências da Saúde,1984,0,"#D883FB"
Ciências da Saúde,1985,0,"#D883FB"
Ciências da Saúde,1986,0,"#D883FB"
Ciências da Saúde,1987,1,"#D883FB"
Ciências da Saúde,1988,2,"#D883FB"
Ciências da Saúde,1989,2,"#D883FB"
Ciências da Saúde,1990,3,"#D883FB"
Ciências da Saúde,1991,3,"#D883FB"
Ciências da Saúde,1992,4,"#D883FB"
Ciências da Saúde,1993,3,"#D883FB"
Ciências da Saúde,1994,6,"#D883FB"
Ciências da Saúde,1995,7,"#D883FB"
Ciências da Saúde,1996,17,"#D883FB"
Ciências da Saúde,1997,21,"#D883FB"
Ciências da Saúde,1998,25,"#D883FB"
Ciências da Saúde,1999,32,"#D883FB"
Ciências da Saúde,2000,42,"#D883FB"
Ciências da Saúde,2001,48,"#D883FB"
Ciências da Saúde,2002,57,"#D883FB"
Ciências da Saúde,2003,67,"#D883FB"
Ciências da Saúde,2004,64,"#D883FB"
Ciências da Saúde,2005,62,"#D883FB"
Ciências da Saúde,2006,75,"#D883FB"
Ciências da Saúde,2007,87,"#D883FB"
Ciências da Saúde,2008,99,"#D883FB"
Ciências da Saúde,2009,98,"#D883FB"
Ciências da Saúde,2010,122,"#D883FB"
Ciências da Saúde,2011,128,"#D883FB"
Ciências da Saúde,2012,157,"#D883FB"
Ciências da Saúde,2013,159,"#D883FB"
Ciências da Saúde,2014,150,"#D883FB"
Ciências da Saúde,2015,150,"#D883FB"
Ciências da Saúde,2016,148,"#D883FB"
Ciências da Saúde,2017,113,"#D883FB"
Ciências Exatas e da Terra,1976,1,"#3FC0FD"
Ciências Exatas e da Terra,1977,0,"#3FC0FD"
Ciências Exatas e da Terra,1978,0,"#3FC0FD"
