region_1,region_2,color,region
Central-West,Central-West,"#e41a1c",8.3
Central-West,North,"#377eb8",2.9
Central-West,Northeast,"#4daf4a",11.3
Central-West,South,"#984ea3",14.9
Central-West,Southeast,"#ff7f00",62.6
North,Central-West,"#e41a1c",4.3
North,North,"#377eb8",15.2
North,Northeast,"#4daf4a",16.9
North,South,"#984ea3",13.0
North,Southeast,"#ff7f00",50.6
Northeast,Central-West,"#e41a1c",3.2
Northeast,North,"#377eb8",3.2
Northeast,Northeast,"#4daf4a",32.7
Northeast,South,"#984ea3",11.7
Northeast,Southeast,"#ff7f00",49.2
South,Central-West,"#e41a1c",3.1
South,North,"#377eb8",1.8
South,Northeast,"#4daf4a",8.5
South,South,"#984ea3",39.5
South,Southeast,"#ff7f00",47.1
Southeast,Central-West,"#e41a1c",4.9
Southeast,North,"#377eb8",2.7
Southeast,Northeast,"#4daf4a",13.6
Southeast,South,"#984ea3",18.0
Southeast,Southeast,"#ff7f00",60.8
