great_area,ano,qtde,color
Agrarian Sciences,1973,1,"#F65385"
Agrarian Sciences,1974,0,"#F65385"
Agrarian Sciences,1975,2,"#F65385"
Agrarian Sciences,1976,0,"#F65385"
Agrarian Sciences,1977,1,"#F65385"
Agrarian Sciences,1978,2,"#F65385"
Agrarian Sciences,1979,1,"#F65385"
Agrarian Sciences,1980,1,"#F65385"
Agrarian Sciences,1981,8,"#F65385"
Agrarian Sciences,1982,3,"#F65385"
Agrarian Sciences,1983,7,"#F65385"
Agrarian Sciences,1984,8,"#F65385"
Agrarian Sciences,1985,6,"#F65385"
Agrarian Sciences,1986,6,"#F65385"
Agrarian Sciences,1987,15,"#F65385"
Agrarian Sciences,1988,5,"#F65385"
Agrarian Sciences,1989,10,"#F65385"
Agrarian Sciences,1990,8,"#F65385"
Agrarian Sciences,1991,6,"#F65385"
Agrarian Sciences,1992,11,"#F65385"
Agrarian Sciences,1993,12,"#F65385"
Agrarian Sciences,1994,19,"#F65385"
Agrarian Sciences,1995,29,"#F65385"
Agrarian Sciences,1996,36,"#F65385"
Agrarian Sciences,1997,37,"#F65385"
Agrarian Sciences,1998,45,"#F65385"
Agrarian Sciences,1999,80,"#F65385"
Agrarian Sciences,2000,71,"#F65385"
Agrarian Sciences,2001,92,"#F65385"
Agrarian Sciences,2002,102,"#F65385"
Agrarian Sciences,2003,113,"#F65385"
Agrarian Sciences,2004,126,"#F65385"
Agrarian Sciences,2005,133,"#F65385"
Agrarian Sciences,2006,165,"#F65385"
Agrarian Sciences,2007,214,"#F65385"
Agrarian Sciences,2008,207,"#F65385"
Agrarian Sciences,2009,261,"#F65385"
Agrarian Sciences,2010,229,"#F65385"
Agrarian Sciences,2011,273,"#F65385"
Agrarian Sciences,2012,289,"#F65385"
Agrarian Sciences,2013,321,"#F65385"
Agrarian Sciences,2014,328,"#F65385"
Agrarian Sciences,2015,333,"#F65385"
Agrarian Sciences,2016,319,"#F65385"
Agrarian Sciences,2017,314,"#F65385"
Biological Sciences,1956,1,"#4d473F"
Biological Sciences,1957,0,"#4d473F"
Biological Sciences,1958,0,"#4d473F"
Biological Sciences,1959,0,"#4d473F"
Biological Sciences,1960,0,"#4d473F"
Biological Sciences,1961,0,"#4d473F"
Biological Sciences,1962,0,"#4d473F"
Biological Sciences,1963,0,"#4d473F"
Biological Sciences,1964,0,"#4d473F"
Biological Sciences,1965,0,"#4d473F"
Biological Sciences,1966,0,"#4d473F"
Biological Sciences,1967,0,"#4d473F"
Biological Sciences,1968,0,"#4d473F"
Biological Sciences,1969,0,"#4d473F"
Biological Sciences,1970,0,"#4d473F"
Biological Sciences,1971,0,"#4d473F"
Biological Sciences,1972,0,"#4d473F"
Biological Sciences,1973,0,"#4d473F"
Biological Sciences,1974,0,"#4d473F"
Biological Sciences,1975,1,"#4d473F"
Biological Sciences,1976,1,"#4d473F"
Biological Sciences,1977,2,"#4d473F"
Biological Sciences,1978,2,"#4d473F"
Biological Sciences,1979,3,"#4d473F"
Biological Sciences,1980,5,"#4d473F"
Biological Sciences,1981,4,"#4d473F"
Biological Sciences,1982,5,"#4d473F"
Biological Sciences,1983,4,"#4d473F"
Biological Sciences,1984,3,"#4d473F"
Biological Sciences,1985,2,"#4d473F"
Biological Sciences,1986,5,"#4d473F"
Biological Sciences,1987,6,"#4d473F"
Biological Sciences,1988,2,"#4d473F"
Biological Sciences,1989,8,"#4d473F"
Biological Sciences,1990,6,"#4d473F"
Biological Sciences,1991,8,"#4d473F"
Biological Sciences,1992,8,"#4d473F"
Biological Sciences,1993,11,"#4d473F"
Biological Sciences,1994,16,"#4d473F"
Biological Sciences,1995,14,"#4d473F"
Biological Sciences,1996,25,"#4d473F"
Biological Sciences,1997,23,"#4d473F"
Biological Sciences,1998,19,"#4d473F"
Biological Sciences,1999,31,"#4d473F"
Biological Sciences,2000,49,"#4d473F"
Biological Sciences,2001,54,"#4d473F"
Biological Sciences,2002,47,"#4d473F"
Biological Sciences,2003,80,"#4d473F"
Biological Sciences,2004,78,"#4d473F"
Biological Sciences,2005,77,"#4d473F"
Biological Sciences,2006,84,"#4d473F"
Biological Sciences,2007,100,"#4d473F"
Biological Sciences,2008,123,"#4d473F"
Biological Sciences,2009,128,"#4d473F"
Biological Sciences,2010,114,"#4d473F"
Biological Sciences,2011,146,"#4d473F"
Biological Sciences,2012,164,"#4d473F"
Biological Sciences,2013,183,"#4d473F"
Biological Sciences,2014,202,"#4d473F"
Biological Sciences,2015,206,"#4d473F"
Biological Sciences,2016,208,"#4d473F"
Biological Sciences,2017,206,"#4d473F"
Engineering,1978,1,"#3ABC91"
Engineering,1979,1,"#3ABC91"
Engineering,1980,1,"#3ABC91"
Engineering,1981,0,"#3ABC91"
Engineering,1982,3,"#3ABC91"
Engineering,1983,2,"#3ABC91"
Engineering,1984,5,"#3ABC91"
Engineering,1985,5,"#3ABC91"
Engineering,1986,4,"#3ABC91"
Engineering,1987,4,"#3ABC91"
Engineering,1988,6,"#3ABC91"
Engineering,1989,4,"#3ABC91"
Engineering,1990,10,"#3ABC91"
Engineering,1991,9,"#3ABC91"
Engineering,1992,13,"#3ABC91"
Engineering,1993,12,"#3ABC91"
Engineering,1994,16,"#3ABC91"
Engineering,1995,28,"#3ABC91"
Engineering,1996,32,"#3ABC91"
Engineering,1997,44,"#3ABC91"
Engineering,1998,55,"#3ABC91"
Engineering,1999,72,"#3ABC91"
Engineering,2000,84,"#3ABC91"
Engineering,2001,100,"#3ABC91"
Engineering,2002,116,"#3ABC91"
Engineering,2003,121,"#3ABC91"
Engineering,2004,160,"#3ABC91"
Engineering,2005,189,"#3ABC91"
Engineering,2006,223,"#3ABC91"
Engineering,2007,251,"#3ABC91"
Engineering,2008,340,"#3ABC91"
Engineering,2009,366,"#3ABC91"
Engineering,2010,407,"#3ABC91"
Engineering,2011,505,"#3ABC91"
Engineering,2012,636,"#3ABC91"
Engineering,2013,664,"#3ABC91"
Engineering,2014,739,"#3ABC91"
Engineering,2015,748,"#3ABC91"
Engineering,2016,665,"#3ABC91"
Engineering,2017,580,"#3ABC91"
Exact and Earth Sciences,1968,1,"#3FC0FD"
Exact and Earth Sciences,1969,0,"#3FC0FD"
Exact and Earth Sciences,1970,0,"#3FC0FD"
Exact and Earth Sciences,1971,0,"#3FC0FD"
Exact and Earth Sciences,1972,0,"#3FC0FD"
Exact and Earth Sciences,1973,1,"#3FC0FD"
Exact and Earth Sciences,1974,0,"#3FC0FD"
Exact and Earth Sciences,1975,0,"#3FC0FD"
Exact and Earth Sciences,1976,0,"#3FC0FD"
Exact and Earth Sciences,1977,1,"#3FC0FD"
Exact and Earth Sciences,1978,2,"#3FC0FD"
Exact and Earth Sciences,1979,2,"#3FC0FD"
Exact and Earth Sciences,1980,2,"#3FC0FD"
Exact and Earth Sciences,1981,3,"#3FC0FD"
Exact and Earth Sciences,1982,4,"#3FC0FD"
Exact and Earth Sciences,1983,1,"#3FC0FD"
Exact and Earth Sciences,1984,1,"#3FC0FD"
Exact and Earth Sciences,1985,4,"#3FC0FD"
Exact and Earth Sciences,1986,3,"#3FC0FD"
Exact and Earth Sciences,1987,5,"#3FC0FD"
Exact and Earth Sciences,1988,8,"#3FC0FD"
Exact and Earth Sciences,1989,12,"#3FC0FD"
Exact and Earth Sciences,1990,10,"#3FC0FD"
Exact and Earth Sciences,1991,5,"#3FC0FD"
Exact and Earth Sciences,1992,12,"#3FC0FD"
Exact and Earth Sciences,1993,17,"#3FC0FD"
Exact and Earth Sciences,1994,8,"#3FC0FD"
Exact and Earth Sciences,1995,17,"#3FC0FD"
Exact and Earth Sciences,1996,28,"#3FC0FD"
Exact and Earth Sciences,1997,47,"#3FC0FD"
Exact and Earth Sciences,1998,36,"#3FC0FD"
Exact and Earth Sciences,1999,55,"#3FC0FD"
Exact and Earth Sciences,2000,76,"#3FC0FD"
Exact and Earth Sciences,2001,61,"#3FC0FD"
Exact and Earth Sciences,2002,107,"#3FC0FD"
Exact and Earth Sciences,2003,102,"#3FC0FD"
Exact and Earth Sciences,2004,147,"#3FC0FD"
Exact and Earth Sciences,2005,149,"#3FC0FD"
Exact and Earth Sciences,2006,173,"#3FC0FD"
Exact and Earth Sciences,2007,217,"#3FC0FD"
Exact and Earth Sciences,2008,240,"#3FC0FD"
Exact and Earth Sciences,2009,231,"#3FC0FD"
Exact and Earth Sciences,2010,276,"#3FC0FD"
Exact and Earth Sciences,2011,338,"#3FC0FD"
Exact and Earth Sciences,2012,388,"#3FC0FD"
Exact and Earth Sciences,2013,455,"#3FC0FD"
Exact and Earth Sciences,2014,492,"#3FC0FD"
Exact and Earth Sciences,2015,520,"#3FC0FD"
Exact and Earth Sciences,2016,537,"#3FC0FD"
Exact and Earth Sciences,2017,471,"#3FC0FD"
Health Sciences,1972,1,"#D883FB"
Health Sciences,1973,1,"#D883FB"
Health Sciences,1974,0,"#D883FB"
Health Sciences,1975,0,"#D883FB"
Health Sciences,1976,0,"#D883FB"
Health Sciences,1977,1,"#D883FB"
Health Sciences,1978,0,"#D883FB"
Health Sciences,1979,1,"#D883FB"
Health Sciences,1980,0,"#D883FB"
Health Sciences,1981,1,"#D883FB"
Health Sciences,1982,1,"#D883FB"
Health Sciences,1983,1,"#D883FB"
Health Sciences,1984,4,"#D883FB"
Health Sciences,1985,9,"#D883FB"
Health Sciences,1986,4,"#D883FB"
Health Sciences,1987,8,"#D883FB"
Health Sciences,1988,4,"#D883FB"
Health Sciences,1989,13,"#D883FB"
Health Sciences,1990,8,"#D883FB"
Health Sciences,1991,8,"#D883FB"
Health Sciences,1992,10,"#D883FB"
Health Sciences,1993,22,"#D883FB"
Health Sciences,1994,25,"#D883FB"
Health Sciences,1995,44,"#D883FB"
Health Sciences,1996,50,"#D883FB"
Health Sciences,1997,62,"#D883FB"
Health Sciences,1998,76,"#D883FB"
Health Sciences,1999,83,"#D883FB"
Health Sciences,2000,123,"#D883FB"
Health Sciences,2001,119,"#D883FB"
Health Sciences,2002,142,"#D883FB"
Health Sciences,2003,166,"#D883FB"
Health Sciences,2004,188,"#D883FB"
Health Sciences,2005,209,"#D883FB"
Health Sciences,2006,218,"#D883FB"
Health Sciences,2007,247,"#D883FB"
Health Sciences,2008,269,"#D883FB"
Health Sciences,2009,373,"#D883FB"
Health Sciences,2010,343,"#D883FB"
Health Sciences,2011,418,"#D883FB"
Health Sciences,2012,459,"#D883FB"
Health Sciences,2013,490,"#D883FB"
Health Sciences,2014,531,"#D883FB"
Health Sciences,2015,542,"#D883FB"
Health Sciences,2016,510,"#D883FB"
Health Sciences,2017,442,"#D883FB"
Humanities,1968,1,"#79C000"
Humanities,1969,0,"#79C000"
Humanities,1970,1,"#79C000"
Humanities,1971,1,"#79C000"
Humanities,1972,1,"#79C000"
Humanities,1973,0,"#79C000"
Humanities,1974,1,"#79C000"
Humanities,1975,1,"#79C000"
Humanities,1976,2,"#79C000"
Humanities,1977,3,"#79C000"
Humanities,1978,4,"#79C000"
Humanities,1979,5,"#79C000"
Humanities,1980,7,"#79C000"
Humanities,1981,3,"#79C000"
Humanities,1982,6,"#79C000"
Humanities,1983,12,"#79C000"
Humanities,1984,16,"#79C000"
Humanities,1985,21,"#79C000"
Humanities,1986,29,"#79C000"
Humanities,1987,31,"#79C000"
Humanities,1988,14,"#79C000"
Humanities,1989,25,"#79C000"
Humanities,1990,26,"#79C000"
Humanities,1991,30,"#79C000"
Humanities,1992,44,"#79C000"
Humanities,1993,69,"#79C000"
Humanities,1994,78,"#79C000"
Humanities,1995,86,"#79C000"
Humanities,1996,110,"#79C000"
